"date","conf","status1","s1"
"1994-01-31","","Normal value",6.34
"1994-02-28","","Normal value",6.42
"1994-03-31","","Normal value",6.55
"1994-04-30","","Normal value",6.46
"1994-05-31","","Normal value",6.25
"1994-06-30","","Normal value",6.62
"1994-07-31","","Normal value",6.77
"1994-08-31","","Normal value",7.08
"1994-09-30","","Normal value",7.31
"1994-10-31","","Normal value",7.3
"1994-11-30","","Normal value",7.19
"1994-12-31","","Normal value",7.51
"1995-01-31","","Normal value",7.66
"1995-02-28","","Normal value",7.5
"1995-03-31","","Normal value",8.02
"1995-04-30","","Normal value",7.63
"1995-05-31","","Normal value",7.25
"1995-06-30","","Normal value",7.24
"1995-07-31","","Normal value",7.16
"1995-08-31","","Normal value",6.83
"1995-09-30","","Normal value",6.59
"1995-10-31","","Normal value",6.76
"1995-11-30","","Normal value",6.43
"1995-12-31","","Normal value",6.21
"1996-01-31","","Normal value",5.69
"1996-02-29","","Normal value",5.56
"1996-03-31","","Normal value",5.55
"1996-04-30","","Normal value",5.32
"1996-05-31","","Normal value",5.07
"1996-06-30","","Normal value",5.19
"1996-07-31","","Normal value",5.18
"1996-08-31","","Normal value",5.16
"1996-09-30","","Normal value",4.96
"1996-10-31","","Normal value",4.67
"1996-11-30","","Normal value",4.54
"1996-12-31","","Normal value",4.39
"1997-01-31","","Normal value",4.25
"1997-02-28","","Normal value",4.32
"1997-03-31","","Normal value",4.55
"1997-04-30","","Normal value",4.47
"1997-05-31","","Normal value",4.36
"1997-06-30","","Normal value",4.33
"1997-07-31","","Normal value",4.32
"1997-08-31","","Normal value",4.49
"1997-09-30","","Normal value",4.42
"1997-10-31","","Normal value",4.55
"1997-11-30","","Normal value",4.56
"1997-12-31","","Normal value",4.41
"1998-01-31","","Normal value",4.22
"1998-02-28","","Normal value",4.17
"1998-03-31","","Normal value",4.05
"1998-04-30","","Normal value",4.12
"1998-05-31","","Normal value",4.13
"1998-06-30","","Normal value",4.08
"1998-07-31","","Normal value",4.01
"1998-08-31","","Normal value",3.93
"1998-09-30","","Normal value",3.75
"1998-10-31","","Normal value",3.59
"1998-11-30","","Normal value",3.55
"1998-12-31","","Normal value",3.27
"1999-01-31","","Normal value",3.0617
"1999-02-28","","Normal value",3.0297
"1999-03-31","","Normal value",3.0462
"1999-04-30","","Normal value",2.7564
"1999-05-31","","Normal value",2.6827
"1999-06-30","","Normal value",2.8363
"1999-07-31","","Normal value",3.03
"1999-08-31","","Normal value",3.2373
"1999-09-30","","Normal value",3.3011
"1999-10-31","","Normal value",3.6837
