mes,precio_m2,distrito
01/02/12,2930,Madrid
01/01/12,3021,Madrid
01/12/11,3021,Madrid
01/11/11,3021,Madrid
01/10/11,3112,Madrid
01/09/11,3167,Madrid
01/08/11,3167,Madrid
01/07/11,3167,Madrid
01/06/11,3232,Madrid
01/05/11,3232,Madrid
01/04/11,3232,Madrid
01/03/11,3246,Madrid
01/02/11,3246,Madrid
01/01/11,3246,Madrid
01/12/10,3273,Madrid
01/11/10,3273,Madrid
01/10/10,3273,Madrid
01/09/10,3313,Madrid
01/08/10,3313,Madrid
01/07/10,3313,Madrid
01/06/10,3373,Madrid
01/05/10,3373,Madrid
01/04/10,3373,Madrid
01/03/10,3412,Madrid
01/02/10,3412,Madrid
01/01/10,3412,Madrid
01/12/09,3494,Madrid
01/11/09,3494,Madrid
01/10/09,3494,Madrid
01/09/09,3486,Madrid
01/08/09,3486,Madrid
01/07/09,3486,Madrid
01/06/09,3642,Madrid
01/05/09,3642,Madrid
01/04/09,3642,Madrid
01/03/09,3751,Madrid
01/02/09,3751,Madrid
01/01/09,3751,Madrid
01/12/08,3881,Madrid
01/11/08,3881,Madrid
01/10/08,3881,Madrid
01/09/08,3980,Madrid
01/08/08,3980,Madrid
01/07/08,3980,Madrid
01/06/08,4037,Madrid
01/05/08,4037,Madrid
01/04/08,4037,Madrid
01/03/08,4029,Madrid
01/02/08,4029,Madrid
01/01/08,4029,Madrid
01/12/07,4028,Madrid
01/11/07,4028,Madrid
01/10/07,4028,Madrid
01/09/07,3996,Madrid
01/08/07,3996,Madrid
01/07/07,3996,Madrid
01/06/07,3953,Madrid
01/05/07,3953,Madrid
01/04/07,3953,Madrid
01/03/07,3889,Madrid
01/02/07,3889,Madrid
01/01/07,3889,Madrid
01/12/06,3824,Madrid
01/11/06,3824,Madrid
01/10/06,3824,Madrid
01/09/06,3762,Madrid
01/08/06,3762,Madrid
01/07/06,3762,Madrid
01/06/06,3693,Madrid
01/05/06,3693,Madrid
01/04/06,3693,Madrid
01/03/06,3597,Madrid
01/02/06,3597,Madrid
01/01/06,3597,Madrid
01/12/05,3510,Madrid
01/11/05,3510,Madrid
01/10/05,3510,Madrid
01/09/05,3417,Madrid
01/08/05,3417,Madrid
01/07/05,3417,Madrid
01/06/05,3332,Madrid
01/05/05,3332,Madrid
01/04/05,3332,Madrid
01/03/05,3227,Madrid
01/02/05,3227,Madrid
01/01/05,3227,Madrid
01/12/04,3136,Madrid
01/11/04,3136,Madrid
01/10/04,3136,Madrid
01/09/04,3024,Madrid
01/08/04,3024,Madrid
01/07/04,3024,Madrid
01/06/04,2910,Madrid
01/05/04,2910,Madrid
01/04/04,2910,Madrid
01/03/04,2779,Madrid
01/02/04,2779,Madrid
01/01/04,2779,Madrid
01/12/03,2643,Madrid
01/11/03,2643,Madrid
01/10/03,2643,Madrid
01/09/03,2496,Madrid
01/08/03,2496,Madrid
01/07/03,2496,Madrid
01/06/03,2368,Madrid
01/05/03,2368,Madrid
01/04/03,2368,Madrid
01/03/03,2251,Madrid
01/02/03,2251,Madrid
01/01/03,2251,Madrid
01/12/02,2125,Madrid
01/11/02,2125,Madrid
01/10/02,2125,Madrid
01/09/02,2006,Madrid
01/08/02,2006,Madrid
01/07/02,2006,Madrid
01/06/02,1903,Madrid
01/05/02,1903,Madrid
01/04/02,1903,Madrid
01/03/02,1808,Madrid
01/02/02,1808,Madrid
01/01/02,1808,Madrid
01/12/01,1725,Madrid
01/11/01,1725,Madrid
01/10/01,1725,Madrid
01/09/01,1647,Madrid
01/08/01,1647,Madrid
01/07/01,1647,Madrid
01/06/01,1592,Madrid
01/05/01,1592,Madrid
01/04/01,1592,Madrid
01/03/01,1542,Madrid
01/02/01,1542,Madrid
01/01/01,1542,Madrid
