,distrito,Nacionales,Extranjeros,nacionales,extranjeros,total,mes
0,arganzuela          ,135269.0,16783.0,135269,16783,152052.0,01/01/14
1,barajas             ,41213.0,4508.0,41213,4508,45721.0,01/01/14
2,carabanchel         ,201419.0,42154.0,201419,42154,243573.0,01/01/14
3,centro              ,104359.0,30578.0,104359,30578,134937.0,01/01/14
4,chamartin           ,129404.0,13720.0,129404,13720,143124.0,01/01/14
5,chamberi            ,123133.0,16043.0,123133,16043,139176.0,01/01/14
6,ciudad_lineal,186470.0,28501.0,186470,28501,214971.0,01/01/14
7,dtosec.inex. en bdc ,17.0,7.0,17,7,24.0,01/01/14
8,fuencarral,214397.0,18801.0,214397,18801,233198.0,01/01/14
9,hortaleza           ,156525.0,16597.0,156525,16597,173122.0,01/01/14
10,latina              ,203876.0,34982.0,203876,34982,238858.0,01/01/14
11,moncloa,103607.0,12540.0,103607,12540,116147.0,01/01/14
12,moratalaz           ,88283.0,8188.0,88283,8188,96471.0,01/01/14
13,puente_vallecas,193887.0,35621.0,193887,35621,229508.0,01/01/14
14,retiro              ,110400.0,8748.0,110400,8748,119148.0,01/01/14
15,salamanca           ,126912.0,17183.0,126912,17183,144095.0,01/01/14
16,san:blas,137367.0,16421.0,137367,16421,153788.0,01/01/14
17,tetuan              ,125144.0,27999.0,125144,27999,153143.0,01/01/14
18,usera               ,108560.0,25594.0,108560,25594,134154.0,01/01/14
19,vicalvaro           ,61179.0,8684.0,61179,8684,69863.0,01/01/14
20,villaverde          ,117072.0,25430.0,117072,25430,142502.0,01/01/14
21,villa_vallecas,86980.0,11953.0,86980,11953,98933.0,01/01/14
22,madrid,2755473.0,421035.0,2755473,421035,3176508.0,01/01/14
0,arganzuela          ,135276.0,16401.0,135276,16401,151677.0,01/02/14
1,barajas             ,41231.0,4430.0,41231,4430,45661.0,01/02/14
2,carabanchel         ,201332.0,41385.0,201332,41385,242717.0,01/02/14
3,centro              ,104275.0,30044.0,104275,30044,134319.0,01/02/14
4,chamartin           ,129456.0,13512.0,129456,13512,142968.0,01/02/14
5,chamberi            ,123161.0,15714.0,123161,15714,138875.0,01/02/14
6,ciudad_lineal,186228.0,27935.0,186228,27935,214163.0,01/02/14
7,fuencarral,214525.0,18471.0,214525,18471,232996.0,01/02/14
8,hortaleza           ,156620.0,16297.0,156620,16297,172917.0,01/02/14
9,latina              ,203699.0,34296.0,203699,34296,237995.0,01/02/14
10,moncloa,103497.0,12362.0,103497,12362,115859.0,01/02/14
11,moratalaz           ,88223.0,8073.0,88223,8073,96296.0,01/02/14
12,puente_vallecas,193731.0,34998.0,193731,34998,228729.0,01/02/14
13,retiro              ,110415.0,8581.0,110415,8581,118996.0,01/02/14
14,salamanca           ,126854.0,16770.0,126854,16770,143624.0,01/02/14
15,san:blas,137309.0,16087.0,137309,16087,153396.0,01/02/14
16,tetuan              ,125093.0,27485.0,125093,27485,152578.0,01/02/14
17,usera               ,108452.0,25119.0,108452,25119,133571.0,01/02/14
18,vicalvaro           ,61208.0,8516.0,61208,8516,69724.0,01/02/14
19,villaverde          ,117061.0,25024.0,117061,25024,142085.0,01/02/14
20,villa_vallecas,87139.0,11795.0,87139,11795,98934.0,01/02/14
21,madrid,2754785.0,413295.0,2754785,413295,3168080.0,01/02/14
0,arganzuela          ,135344.0,16280.0,135344,16280,151624.0,01/03/14
1,barajas             ,41225.0,4408.0,41225,4408,45633.0,01/03/14
2,carabanchel         ,201528.0,41222.0,201528,41222,242750.0,01/03/14
3,centro              ,104092.0,29871.0,104092,29871,133963.0,01/03/14
4,chamartin           ,129424.0,13411.0,129424,13411,142835.0,01/03/14
5,chamberi            ,122998.0,15603.0,122998,15603,138601.0,01/03/14
6,ciudad_lineal,186321.0,27635.0,186321,27635,213956.0,01/03/14
7,fuencarral,214670.0,18394.0,214670,18394,233064.0,01/03/14
8,hortaleza           ,156973.0,16169.0,156973,16169,173142.0,01/03/14
9,latina              ,203681.0,34052.0,203681,34052,237733.0,01/03/14
10,moncloa,103600.0,12217.0,103600,12217,115817.0,01/03/14
11,moratalaz           ,88155.0,8017.0,88155,8017,96172.0,01/03/14
12,puente_vallecas,193888.0,34818.0,193888,34818,228706.0,01/03/14
13,retiro              ,110356.0,8483.0,110356,8483,118839.0,01/03/14
14,salamanca           ,126896.0,16636.0,126896,16636,143532.0,01/03/14
15,san:blas,137339.0,16065.0,137339,16065,153404.0,01/03/14
16,tetuan              ,125151.0,27381.0,125151,27381,152532.0,01/03/14
17,usera               ,108596.0,24936.0,108596,24936,133532.0,01/03/14
18,vicalvaro           ,61210.0,8440.0,61210,8440,69650.0,01/03/14
