mes,precio_m2,var_mensual,var_trimest,var_anual,zona
01/06/23,"16,8 €/m2","1,20 %","3,70 %","10,20 %",GLOBAL
01/05/23,"16,6 €/m2","1,20 %","2,60 %","11,00 %",GLOBAL
01/04/23,"16,4 €/m2","1,20 %","2,50 %","10,30 %",GLOBAL
01/03/23,"16,2 €/m2","0,20 %","2,70 %","10,40 %",GLOBAL
01/02/23,"16,2 €/m2","1,10 %","2,50 %","11,20 %",GLOBAL
01/01/23,"16,0 €/m2","1,30 %","0,40 %","11,00 %",GLOBAL
01/12/22,"15,8 €/m2","0,00 %","-1,00 %","10,80 %",GLOBAL
01/11/22,"15,8 €/m2","-0,90 %","0,50 %","9,90 %",GLOBAL
01/10/22,"15,9 €/m2","-0,10 %","2,80 %","10,20 %",GLOBAL
01/09/22,"15,9 €/m2","1,50 %","4,60 %","10,20 %",GLOBAL
01/08/22,"15,7 €/m2","1,40 %","5,10 %","9,20 %",GLOBAL
01/07/22,"15,5 €/m2","1,70 %","4,30 %","8,20 %",GLOBAL
01/06/22,"15,2 €/m2","2,00 %","3,90 %","6,50 %",GLOBAL
01/05/22,"15,0 €/m2","0,60 %","2,80 %","4,70 %",GLOBAL
01/04/22,"14,9 €/m2","1,30 %","3,20 %","3,70 %",GLOBAL
01/03/22,"14,7 €/m2","0,90 %","3,00 %","1,90 %",GLOBAL
01/02/22,"14,5 €/m2","0,90 %","1,20 %","1,00 %",GLOBAL
01/01/22,"14,4 €/m2","1,10 %","-0,40 %","-0,40 %",GLOBAL
01/12/21,"14,3 €/m2","-0,80 %","-1,50 %","-3,20 %",GLOBAL
01/11/21,"14,4 €/m2","-0,70 %","-0,10 %","-4,30 %",GLOBAL
01/10/21,"14,5 €/m2","0,00 %","0,90 %","-6,10 %",GLOBAL
01/09/21,"14,5 €/m2","0,60 %","1,10 %","-7,60 %",GLOBAL
01/08/21,"14,4 €/m2","0,30 %","0,70 %","-9,00 %",GLOBAL
01/07/21,"14,3 €/m2","0,20 %","0,00 %","-10,30 %",GLOBAL
01/06/21,"14,3 €/m2","0,20 %","-0,70 %","-12,00 %",GLOBAL
01/05/21,"14,3 €/m2","-0,40 %","-0,80 %","-12,40 %",GLOBAL
01/04/21,"14,3 €/m2","-0,50 %","-0,90 %","-9,80 %",GLOBAL
01/03/21,"14,4 €/m2","0,00 %","-2,20 %","-8,20 %",GLOBAL
01/02/21,"14,4 €/m2","-0,40 %","-4,10 %","-7,70 %",GLOBAL
01/01/21,"14,5 €/m2","-1,80 %","-6,10 %","-6,70 %",GLOBAL
01/12/20,"14,7 €/m2","-1,90 %","-5,90 %","-5,40 %",GLOBAL
01/11/20,"15,0 €/m2","-2,50 %","-5,00 %","-4,50 %",GLOBAL
01/10/20,"15,4 €/m2","-1,60 %","-3,70 %","-3,10 %",GLOBAL
01/09/20,"15,7 €/m2","-1,00 %","-3,70 %","-1,50 %",GLOBAL
01/08/20,"15,8 €/m2","-1,10 %","-3,00 %","0,50 %",GLOBAL
01/07/20,"16,0 €/m2","-1,60 %","0,60 %","2,40 %",GLOBAL
01/06/20,"16,3 €/m2","-0,30 %","3,60 %","4,20 %",GLOBAL
01/05/20,"16,3 €/m2","2,50 %","4,50 %","4,80 %",GLOBAL
01/04/20,"15,9 €/m2","1,30 %","2,60 %","2,40 %",GLOBAL
01/03/20,"15,7 €/m2","0,60 %","0,90 %","1,50 %",GLOBAL
01/02/20,"15,6 €/m2","0,70 %","-0,80 %","1,30 %",GLOBAL
01/01/20,"15,5 €/m2","-0,40 %","-2,50 %","1,40 %",GLOBAL
01/12/19,"15,6 €/m2","-1,10 %","-2,10 %","1,90 %",GLOBAL
01/11/19,"15,7 €/m2","-1,10 %","0,00 %","2,30 %",GLOBAL
01/10/19,"15,9 €/m2","0,00 %","1,90 %","2,90 %",GLOBAL
01/09/19,"15,9 €/m2","1,10 %","1,90 %","3,50 %",GLOBAL
01/08/19,"15,7 €/m2","0,70 %","1,10 %","3,30 %",GLOBAL
01/07/19,"15,6 €/m2","0,10 %","0,50 %","3,50 %",GLOBAL
01/06/19,"15,6 €/m2","0,30 %","0,80 %","3,90 %",GLOBAL
01/05/19,"15,5 €/m2","0,10 %","0,90 %","4,50 %",GLOBAL
01/04/19,"15,5 €/m2","0,40 %","1,60 %","4,40 %",GLOBAL
01/03/19,"15,5 €/m2","0,40 %","1,30 %","5,60 %",GLOBAL
01/02/19,"15,4 €/m2","0,80 %","0,20 %","6,50 %",GLOBAL
01/01/19,"15,3 €/m2","0,00 %","-1,10 %","6,80 %",GLOBAL
01/12/18,"15,3 €/m2","-0,60 %","-0,50 %","7,90 %",GLOBAL
01/11/18,"15,4 €/m2","-0,50 %","1,00 %","8,30 %",GLOBAL
01/10/18,"15,5 €/m2","0,70 %","2,50 %","9,10 %",GLOBAL
01/09/18,"15,3 €/m2","0,80 %","2,20 %","8,30 %",GLOBAL
01/08/18,"15,2 €/m2","0,90 %","2,30 %","9,30 %",GLOBAL
01/07/18,"15,1 €/m2","0,40 %","1,30 %","9,40 %",GLOBAL
01/06/18,"15,0 €/m2","0,90 %","2,50 %","10,60 %",GLOBAL
01/05/18,"14,9 €/m2","0,00 %","2,80 %","10,10 %",GLOBAL
01/04/18,"14,9 €/m2","1,60 %","4,00 %","10,60 %",GLOBAL
01/03/18,"14,6 €/m2","1,20 %","3,50 %","9,50 %",GLOBAL
01/02/18,"14,5 €/m2","1,10 %","2,00 %","7,10 %",GLOBAL
