"Año";"Periodo";"Comunidad de Madrid﻿ ";"España"
"2007";"Enero";"2.597,34";"1.771,34"
"2007";"Febrero";"2.382";"1.715,02"
"2007";"Marzo";"2.573,39";"1.778,21"
"2007";"Abril";"2.644,26";"1.773,54"
"2007";"Mayo";"2.665,4";"1.806,79"
"2007";"Junio";"2.747,45";"1.849,96"
"2007";"Julio";"2.739,51";"1.886,68"
"2007";"Agosto";"2.565,63";"1.661,57"
"2007";"Septiembre";"2.566,92";"1.800,59"
"2007";"Octubre";"2.514,07";"1.784,15"
"2007";"Noviembre";"2.554,58";"1.800,89"
"2007";"Diciembre";"2.554,25";"1.852,1"
"2008";"Enero";"2.602,43";"1.790,49"
"2008";"Febrero";"2.493,13";"1.758,3"
"2008";"Marzo";"2.509,61";"1.788,8"
"2008";"Abril";"2.494,53";"1.791,67"
"2008";"Mayo";"2.568,52";"1.765,94"
"2008";"Junio";"2.616,01";"1.806,51"
"2008";"Julio";"2.696,4";"1.799,46"
"2008";"Agosto";"2.500,1";"1.648,27"
"2008";"Septiembre";"2.640,47";"1.744,49"
"2008";"Octubre";"2.434,77";"1.765,74"
"2008";"Noviembre";"2.726,19";"1.687,57"
"2008";"Diciembre";"2.703,48";"1.755,27"
"2009";"Enero";"2.526,96";"1.708,89"
"2009";"Febrero";"2.446,03";"1.677,76"
"2009";"Marzo";"2.388,54";"1.699,88"
"2009";"Abril";"2.446,42";"1.698,65"
"2009";"Mayo";"2.238,85";"1.698,04"
"2009";"Junio";"2.302,97";"1.704,48"
"2009";"Julio";"2.264,89";"1.719,54"
"2009";"Agosto";"2.200,64";"1.570,93"
"2009";"Septiembre";"2.391,37";"1.709,41"
"2009";"Octubre";"2.362,76";"1.654,49"
"2009";"Noviembre";"2.277,02";"1.674,7"
"2009";"Diciembre";"2.248,14";"1.733,15"
"2010";"Enero";"2.266,06";"1.701,22"
"2010";"Febrero";"2.400,73";"1.687,45"
"2010";"Marzo";"2.405,02";"1.668,2"
"2010";"Abril";"2.359,11";"1.678,72"
"2010";"Mayo";"2.400,32";"1.675,8"
"2010";"Junio";"2.315";"1.750,51"
"2010";"Julio";"2.331,08";"1.636,3"
"2010";"Agosto";"2.369,78";"1.484,71"
"2010";"Septiembre";"2.259,52";"1.607,28"
"2010";"Octubre";"2.289,09";"1.606,9"
"2010";"Noviembre";"2.279,08";"1.607,69"
"2010";"Diciembre";"2.284,36";"1.657,6"
"2011";"Enero";"2.185,57";"1.589,82"
"2011";"Febrero";"2.221,77";"1.515,44"
"2011";"Marzo";"2.144,79";"1.586,05"
"2011";"Abril";"2.221,94";"1.602,62"
"2011";"Mayo";"2.021,46";"1.522,65"
"2011";"Junio";"2.119,05";"1.540,6"
"2011";"Julio";"2.124,81";"1.575,97"
"2011";"Agosto";"2.229,4";"1.444,06"
"2011";"Septiembre";"2.180,73";"1.500,99"
"2011";"Octubre";"2.011,95";"1.432"
"2011";"Noviembre";"1.756,4";"1.453,04"
"2011";"Diciembre";"2.430,72";"1.619,07"
"2012";"Enero";"2.060,41";"1.349,22"
"2012";"Febrero";"2.072,96";"1.431,61"
"2012";"Marzo";"1.811,97";"1.356,54"
"2012";"Abril";"1.891,05";"1.363,87"
"2012";"Mayo";"1.945,31";"1.343,72"
"2012";"Junio";"1.875,57";"1.413,27"
"2012";"Julio";"2.166,4";"1.437,51"
"2012";"Agosto";"1.670,86";"1.210,53"
"2012";"Septiembre";"1.780,78";"1.362"
"2012";"Octubre";"1.752";"1.345,8"
"2012";"Noviembre";"1.751,02";"1.298,78"
"2012";"Diciembre";"1.898,84";"1.388,53"
"2013";"Enero";"1.655,75";"1.187,89"
"2013";"Febrero";"1.726,69";"1.181,25"
"2013";"Marzo";"1.809,5";"1.311,66"
"2013";"Abril";"1.708,51";"1.208,21"
"2013";"Mayo";"1.728,43";"1.256,21"
"2013";"Junio";"1.723,38";"1.286,78"
"2013";"Julio";"1.908,61";"1.300,88"
"2013";"Agosto";"1.473,76";"1.215,54"
"2013";"Septiembre";"1.762,39";"1.223,42"
"2013";"Octubre";"1.631,48";"1.269,13"
"2013";"Noviembre";"1.696,76";"1.212,81"
"2013";"Diciembre";"1.857,19";"1.268,71"
"2014";"Enero";"1.893";"1.312,64"
"2014";"Febrero";"1.792,3";"1.230,12"
"2014";"Marzo";"1.778,48";"1.298,75"
"2014";"Abril";"1.765,61";"1.236,61"
"2014";"Mayo";"1.828,63";"1.257,8"
"2014";"Junio";"1.717,02";"1.263,14"
"2014";"Julio";"1.814,78";"1.277,4"
"2014";"Agosto";"1.657,2";"1.166,11"
"2014";"Septiembre";"1.797,76";"1.222,02"
"2014";"Octubre";"1.721,47";"1.229,83"
"2014";"Noviembre";"1.741,86";"1.232,74"
"2014";"Diciembre";"1.847,29";"1.273,91"
"2015";"Enero";"1.889,16";"1.277,72"
"2015";"Febrero";"1.727,3";"1.225,57"
"2015";"Marzo";"1.764,66";"1.236,56"
"2015";"Abril";"1.765,76";"1.307,98"
"2015";"Mayo";"1.829,33";"1.280,53"
"2015";"Junio";"1.790,98";"1.315,2"
"2015";"Julio";"1.913,55";"1.320,46"
"2015";"Agosto";"1.650,56";"1.163,08"
"2015";"Septiembre";"1.845,98";"1.281,1"
"2015";"Octubre";"1.798,86";"1.255,89"
"2015";"Noviembre";"1.805,33";"1.281,94"
"2015";"Diciembre";"1.841,04";"1.312,71"
"2016";"Enero";"1.887,42";"1.331,29"
"2016";"Febrero";"1.823,39";"1.273,03"
"2016";"Marzo";"1.898,06";"1.294,32"
"2016";"Abril";"1.869,31";"1.304,66"
"2016";"Mayo";"1.874,33";"1.313,93"
"2016";"Junio";"1.914,41";"1.339,38"
"2016";"Julio";"1.908,6";"1.340,07"
"2016";"Agosto";"1.653,27";"1.156,16"
"2016";"Septiembre";"1.820,12";"1.300,03"
"2016";"Octubre";"1.944,24";"1.341,26"
"2016";"Noviembre";"1.912,69";"1.299,7"
"2016";"Diciembre";"1.916,99";"1.357,73"
"2017";"Enero";"2.006,81";"1.368,55"
"2017";"Febrero";"1.969,41";"1.349,41"
"2017";"Marzo";"2.005,54";"1.346,95"
"2017";"Abril";"2.051,17";"1.411,97"
"2017";"Mayo";"1.954,4";"1.363,87"
"2017";"Junio";"2.005,47";"1.395,38"
