"Año";"Periodo";"Viviendas"
"2007";"Enero";"7.978"
"2007";"Febrero";"8.214"
"2007";"Marzo";"8.174"
"2007";"Abril";"6.973"
"2007";"Mayo";"7.678"
"2007";"Junio";"7.504"
"2007";"Julio";"7.309"
"2007";"Agosto";"6.590"
"2007";"Septiembre";"7.528"
"2007";"Octubre";"6.347"
"2007";"Noviembre";"6.058"
"2007";"Diciembre";"4.577"
"2008";"Enero";"5.865"
"2008";"Febrero";"5.724"
"2008";"Marzo";"5.583"
"2008";"Abril";"5.802"
"2008";"Mayo";"4.958"
"2008";"Junio";"5.687"
"2008";"Julio";"5.150"
"2008";"Agosto";"4.337"
"2008";"Septiembre";"4.886"
"2008";"Octubre";"4.033"
"2008";"Noviembre";"3.648"
"2008";"Diciembre";"3.621"
"2009";"Enero";"4.067"
"2009";"Febrero";"4.325"
"2009";"Marzo";"3.965"
"2009";"Abril";"3.440"
"2009";"Mayo";"4.071"
"2009";"Junio";"4.170"
"2009";"Julio";"5.009"
"2009";"Agosto";"3.732"
"2009";"Septiembre";"5.136"
"2009";"Octubre";"4.346"
"2009";"Noviembre";"4.797"
"2009";"Diciembre";"4.666"
"2010";"Enero";"4.869"
"2010";"Febrero";"6.888"
"2010";"Marzo";"5.207"
"2010";"Abril";"4.460"
"2010";"Mayo";"5.192"
"2010";"Junio";"4.931"
"2010";"Julio";"5.929"
"2010";"Agosto";"5.696"
"2010";"Septiembre";"5.620"
"2010";"Octubre";"3.393"
"2010";"Noviembre";"3.826"
"2010";"Diciembre";"4.667"
"2011";"Enero";"5.772"
"2011";"Febrero";"7.108"
"2011";"Marzo";"4.733"
"2011";"Abril";"3.004"
"2011";"Mayo";"4.357"
"2011";"Junio";"4.314"
"2011";"Julio";"3.700"
"2011";"Agosto";"3.380"
"2011";"Septiembre";"3.478"
"2011";"Octubre";"2.868"
"2011";"Noviembre";"3.065"
"2011";"Diciembre";"3.425"
"2012";"Enero";"4.515"
"2012";"Febrero";"4.272"
"2012";"Marzo";"3.369"
"2012";"Abril";"2.660"
"2012";"Mayo";"3.159"
"2012";"Junio";"3.426"
"2012";"Julio";"3.418"
"2012";"Agosto";"3.336"
