"Año";"Periodo";"Comunidad de Madrid﻿ ";"España"
"2008";"Trimestre 1";"2,07";"7,15"
"2008";"Trimestre 2";"0,94";"5,32"
"2008";"Trimestre 3";"0,11";"3,7"
"2008";"Trimestre 4";"-1,77";"0,8"
"2009";"Trimestre 1";"-9,44";"-1,99"
"2009";"Trimestre 2";"-11,79";"-3,87"
"2009";"Trimestre 3";"-13,8";"-5,58"
"2009";"Trimestre 4";"-10,73";"-5,08"
"2010";"Trimestre 1";"-3,35";"-4,22"
"2010";"Trimestre 2";"0,99";"-1,71"
"2010";"Trimestre 3";"3,56";"-2,56"
"2010";"Trimestre 4";"4,44";"-2,13"
"2011";"Trimestre 1";"2,5";"-1,93"
"2011";"Trimestre 2";"-3,78";"-5,17"
"2011";"Trimestre 3";"-6,51";"-5,05"
"2011";"Trimestre 4";"-13,68";"-8,55"
"2012";"Trimestre 1";"-14,68";"-11,8"
"2012";"Trimestre 2";"-14,05";"-12,78"
"2012";"Trimestre 3";"-16,46";"-13,59"
"2012";"Trimestre 4";"-9,98";"-10,93"
"2013";"Trimestre 1";"-15,25";"-12,83"
"2013";"Trimestre 2";"-16,08";"-12,66"
"2013";"Trimestre 3";"-7,48";"-7,95"
"2013";"Trimestre 4";"-3,92";"-7,99"
"2014";"Trimestre 1";"5,55";"-1,09"
"2014";"Trimestre 2";"6,31";"1,94"
"2014";"Trimestre 3";"2,87";"0,79"
"2014";"Trimestre 4";"2,5";"1,87"
"2015";"Trimestre 1";"4,49";"3,99"
"2015";"Trimestre 2";"8,41";"4,88"
"2015";"Trimestre 3";"7,94";"4,28"
"2015";"Trimestre 4";"6,6";"5,78"
"2016";"Trimestre 1";"8,53";"6,12"
"2016";"Trimestre 2";"12,15";"8,4"
"2016";"Trimestre 3";"9";"7,25"
"2016";"Trimestre 4";"6,45";"4,35"
"2017";"Trimestre 1";"8,11";"5,5"
"2017";"Trimestre 2";"7,6";"4,38"
"2017";"Trimestre 3";"10,65";"6,52"
"2017";"Trimestre 4";"10,6";"7,36"
"2018";"Trimestre 1";"5,92";"5,67"
"2018";"Trimestre 2";"5,98";"5,67"
"2018";"Trimestre 3";"6,25";"6,13"
"2018";"Trimestre 4";"7,23";"8,03"
"2019";"Trimestre 1";"13,35";"10,35"
"2019";"Trimestre 2";"6,45";"7,17"
"2019";"Trimestre 3";"5,68";"6,64"
"2019";"Trimestre 4";"5,06";"5,27"
"2020";"Trimestre 1";"6,2";"6,14"
"2020";"Trimestre 2";"3,02";"4,15"
"2020";"Trimestre 3";"5,99";"7,46"
"2020";"Trimestre 4";"10,01";"8,2"
"2021";"Trimestre 1";"1,35";"2,32"
"2021";"Trimestre 2";"7,31";"6,01"
"2021";"Trimestre 3";"6,28";"4,07"
"2021";"Trimestre 4";"6,34";"6,06"
"2022";"Trimestre 1";"10,23";"10,08"
"2022";"Trimestre 2";"8,93";"8,8"
"2022";"Trimestre 3";"6,61";"6,8"
"2022";"Trimestre 4";"4,11";"6,16"
"2023";"Trimestre 1";"3,67";"5,97"
;;;
;;;
"Métrica":"Comunidad de Madrid﻿ "
"Fuente":"INE"
"Clasificación":"Base 2015"
"Unidad":"Índice de Precios"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"España"
"Fuente":"INE"
"Clasificación":"Base 2015"
"Unidad":"Índice de Precios"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/evolucion-interanual-precio-vivienda-nueva-ine/3401c0cc-beae-47af-acc0-ecfaa17a0c01/madrid/304"
"Titulo":"Evolución interanual del precio de la vivienda nueva en Comunidad de Madrid﻿, según el INE"
"Subtitulo":""
