"Año";"Periodo";"Nuevas";"Segunda mano"
"2008";"Enero";"-9,39";"-34,35"
"2008";"Febrero";"-13,59";"-38,58"
"2008";"Marzo";"-4,39";"-44,6"
"2008";"Abril";"1,37";"-27,81"
"2008";"Mayo";"-6,79";"-48,45"
"2008";"Junio";"32,75";"-46,5"
"2008";"Julio";"-10,41";"-39,82"
"2008";"Agosto";"-0,97";"-50,45"
"2008";"Septiembre";"-4,57";"-53,9"
"2008";"Octubre";"-18,35";"-48,49"
"2008";"Noviembre";"-33,79";"-44,1"
"2008";"Diciembre";"-4,56";"-31,65"
"2009";"Enero";"-9,7";"-43,96"
"2009";"Febrero";"2,13";"-42,91"
"2009";"Marzo";"-17,75";"-38,13"
"2009";"Abril";"-33,91";"-46,5"
"2009";"Mayo";"-9,52";"-24,77"
"2009";"Junio";"-25,17";"-28,14"
"2009";"Julio";"6,51";"-10,14"
"2009";"Agosto";"-13,99";"-13,91"
"2009";"Septiembre";"-0,33";"12,06"
"2009";"Octubre";"5,7";"9,93"
"2009";"Noviembre";"49,43";"16,17"
"2009";"Diciembre";"31,28";"26,63"
"2010";"Enero";"19,11";"20,35"
"2010";"Febrero";"52,9";"67,17"
"2010";"Marzo";"24,93";"38,26"
"2010";"Abril";"12,76";"47,43"
"2010";"Mayo";"16,25";"38,69"
"2010";"Junio";"0,91";"35,78"
"2010";"Julio";"16,41";"20,23"
"2010";"Agosto";"50,08";"55,11"
"2010";"Septiembre";"2,42";"17,37"
"2010";"Octubre";"-30,91";"-12,83"
"2010";"Noviembre";"-34,59";"-4,46"
"2010";"Diciembre";"3,73";"-3,52"
"2011";"Enero";"1,22";"36,09"
"2011";"Febrero";"-3,87";"11,23"
"2011";"Marzo";"-9,59";"-8,63"
"2011";"Abril";"-26,09";"-37,92"
"2011";"Mayo";"-4,76";"-25,47"
"2011";"Junio";"7,9";"-27,84"
"2011";"Julio";"-29,03";"-45,45"
"2011";"Agosto";"-39,65";"-41,61"
"2011";"Septiembre";"-41,82";"-34,44"
"2011";"Octubre";"-1,26";"-26,89"
"2011";"Noviembre";"-9,13";"-27,99"
