"Año";"Periodo";"Parámetro";"Compraventa de viviendas"
"2023";"Abril";"Álava";"-37,64"
"2023";"Abril";"Albacete";"-6,23"
"2023";"Abril";"Alicante";"9,49"
"2023";"Abril";"Almería";"0,73"
"2023";"Abril";"Ávila";"0"
"2023";"Abril";"Badajoz";"5,31"
"2023";"Abril";"Islas Baleares";"-19,57"
"2023";"Abril";"Barcelona";"-15,47"
"2023";"Abril";"Burgos";"-6,07"
"2023";"Abril";"Cáceres";"0,76"
"2023";"Abril";"Cádiz";"-5,66"
"2023";"Abril";"Castellón";"-16,52"
"2023";"Abril";"Ciudad Real";"-6,28"
"2023";"Abril";"Córdoba";"0,55"
"2023";"Abril";"A Coruña";"-15,21"
"2023";"Abril";"Cuenca";"-6,94"
"2023";"Abril";"Girona";"-0,47"
"2023";"Abril";"Granada";"1,89"
"2023";"Abril";"Guadalajara";"-9,45"
"2023";"Abril";"Guipúzcoa ";"-18,55"
"2023";"Abril";"Huelva";"-18,62"
"2023";"Abril";"Huesca";"-4,48"
"2023";"Abril";"Jaén";"-2,93"
"2023";"Abril";"León";"-17,13"
"2023";"Abril";"Lleida";"-18,31"
"2023";"Abril";"La Rioja";"-18,61"
"2023";"Abril";"Lugo";"-6,11"
"2023";"Abril";"Madrid";"-11,77"
"2023";"Abril";"Málaga";"-19,61"
"2023";"Abril";"Murcia";"1,2"
"2023";"Abril";"Navarra";"-0,58"
"2023";"Abril";"Ourense";"-5,13"
"2023";"Abril";"Asturias";"2,64"
"2023";"Abril";"Palencia";"-0,82"
"2023";"Abril";"Las Palmas";"-13,81"
"2023";"Abril";"Pontevedra";"-20,9"
"2023";"Abril";"Salamanca";"-18,24"
"2023";"Abril";"Santa Cruz de Tenerife";"-15,19"
"2023";"Abril";"Cantabria";"11,56"
"2023";"Abril";"Segovia";"26,9"
"2023";"Abril";"Sevilla";"-11,99"
"2023";"Abril";"Soria";"-23,76"
"2023";"Abril";"Tarragona";"-11,78"
"2023";"Abril";"Teruel";"-17,5"
"2023";"Abril";"Toledo";"-7,65"
"2023";"Abril";"Valencia";"8,91"
"2023";"Abril";"Valladolid";"2,62"
"2023";"Abril";"Vizcaya";"-22,15"
"2023";"Abril";"Zamora";"31,33"
"2023";"Abril";"Zaragoza";"-6,67"
"2023";"Abril";"Ceuta";"-41,67"
"2023";"Abril";"Melilla";"230,77"
;;
;;
"Métrica":"Compraventa de viviendas"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Viviendas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/variacion-anual-compraventa-viviendas-provincias/ef0dce16-6557-4da4-95d5-d3259c75c0f5"
"Titulo":"Variación anual de la compraventa de viviendas por provincias"
"Subtitulo":"Según el INE"
