Mes,GLOBAL_precio_m2,GLOBAL_var_mensual,GLOBAL_var_trimest,GLOBAL_var_anual,ARGANZUELA_precio_m2,ARGANZUELA_var_mensual,ARGANZUELA_var_trimest,ARGANZUELA_var_anual,BARAJAS_precio_m2,BARAJAS_var_mensual,BARAJAS_var_trimest,BARAJAS_var_anual,CARABANCHEL_precio_m2,CARABANCHEL_var_mensual,CARABANCHEL_var_trimest,CARABANCHEL_var_anual,CENTRO_precio_m2,CENTRO_var_mensual,CENTRO_var_trimest,CENTRO_var_anual,CHAMARTIN_precio_m2,CHAMARTIN_var_mensual,CHAMARTIN_var_trimest,CHAMARTIN_var_anual,CHAMBERI_precio_m2,CHAMBERI_var_mensual,CHAMBERI_var_trimest,CHAMBERI_var_anual,CIUDAD_LINEAL_precio_m2,CIUDAD_LINEAL_var_mensual,CIUDAD_LINEAL_var_trimest,CIUDAD_LINEAL_var_anual,FUENCARRAL_precio_m2,FUENCARRAL_var_mensual,FUENCARRAL_var_trimest,FUENCARRAL_var_anual,HORTALEZA_precio_m2,HORTALEZA_var_mensual,HORTALEZA_var_trimest,HORTALEZA_var_anual,LATINA_precio_m2,LATINA_var_mensual,LATINA_var_trimest,LATINA_var_anual,MONCLOA_precio_m2,MONCLOA_var_mensual,MONCLOA_var_trimest,MONCLOA_var_anual,MORATALAZ_precio_m2,MORATALAZ_var_mensual,MORATALAZ_var_trimest,MORATALAZ_var_anual,PUENTE_VALLECAS_precio_m2,PUENTE_VALLECAS_var_mensual,PUENTE_VALLECAS_var_trimest,PUENTE_VALLECAS_var_anual,RETIRO_precio_m2,RETIRO_var_mensual,RETIRO_var_trimest,RETIRO_var_anual,SALAMANCA_precio_m2,SALAMANCA_var_mensual,SALAMANCA_var_trimest,SALAMANCA_var_anual,SAN_BLAS_precio_m2,SAN_BLAS_var_mensual,SAN_BLAS_var_trimest,SAN_BLAS_var_anual,TETUAN_precio_m2,TETUAN_var_mensual,TETUAN_var_trimest,TETUAN_var_anual,USERA_precio_m2,USERA_var_mensual,USERA_var_trimest,USERA_var_anual,VICALVARO_precio_m2,VICALVARO_var_mensual,VICALVARO_var_trimest,VICALVARO_var_anual,VILLA_VALLECAS_precio_m2,VILLA_VALLECAS_var_mensual,VILLA_VALLECAS_var_trimest,VILLA_VALLECAS_var_anual,VILLAVERDE_precio_m2,VILLAVERDE_var_mensual,VILLAVERDE_var_trimest,VILLAVERDE_var_anual
01/06/23,"16,8 €/m2","1,20 %","3,70 %","10,20 %","16,4 €/m2","0,50 %","0,80 %","8,80 %","13,2 €/m2","2,00 %","4,30 %","9,50 %","13,3 €/m2","0,50 %","3,20 %","11,20 %","20,1 €/m2","-0,70 %","0,50 %","11,80 %","17,5 €/m2","-1,00 %","0,10 %","8,80 %","20,0 €/m2","0,00 %","2,10 %","12,80 %","15,0 €/m2","0,40 %","4,10 %","10,50 %","13,8 €/m2","-0,60 %","0,70 %","8,60 %","14,0 €/m2","0,80 %","2,00 %","9,70 %","13,3 €/m2","0,00 %","3,40 %","8,00 %","16,6 €/m2","1,70 %","5,50 %","10,40 %","12,2 €/m2","1,30 %","-0,50 %","7,70 %","13,6 €/m2","1,50 %","1,70 %","10,90 %","17,7 €/m2","0,60 %","3,00 %","12,40 %","21,0 €/m2","1,50 %","5,10 %","14,40 %","13,2 €/m2","0,60 %","0,80 %","9,80 %","17,3 €/m2","0,20 %","2,50 %","11,40 %","13,3 €/m2","-1,20 %","-0,90 %","8,30 %","11,4 €/m2","0,40 %","1,80 %","4,00 %","12,5 €/m2","-1,30 %","2,20 %","7,00 %","12,3 €/m2","0,30 %","4,00 %","9,80 %"
01/05/23,"16,6 €/m2","1,20 %","2,60 %","11,00 %","16,4 €/m2","0,70 %","1,50 %","8,70 %","13,0 €/m2","2,50 %","3,30 %","5,60 %","13,3 €/m2","-0,30 %","5,70 %","11,40 %","20,2 €/m2","1,20 %","-1,10 %","13,30 %","17,7 €/m2","1,10 %","1,80 %","9,90 %","20,0 €/m2","2,00 %","2,50 %","13,70 %","14,9 €/m2","1,00 %","5,30 %","11,50 %","13,9 €/m2","1,50 %","3,20 %","10,10 %","13,9 €/m2","0,30 %","2,10 %","9,00 %","13,3 €/m2","0,90 %","4,30 %","9,20 %","16,3 €/m2","1,90 %","6,20 %","8,80 %","12,0 €/m2","-0,90 %","-0,80 %","5,30 %","13,4 €/m2","0,50 %","2,10 %","8,70 %","17,6 €/m2","0,90 %","3,10 %","11,80 %","20,7 €/m2","2,10 %","3,50 %","14,10 %","13,2 €/m2","0,00 %","3,90 %","9,70 %","17,3 €/m2","1,00 %","2,40 %","12,40 %","13,5 €/m2","1,30 %","-0,20 %","13,20 %","11,4 €/m2","0,10 %","1,10 %","5,80 %","12,6 €/m2","-0,90 %","7,00 %","9,40 %","12,3 €/m2","2,60 %","3,60 %","10,80 %"
01/04/23,"16,4 €/m2","1,20 %","2,50 %","10,30 %","16,3 €/m2","-0,30 %","0,30 %","7,70 %","12,6 €/m2","-0,20 %","1,30 %","3,20 %","13,3 €/m2","3,00 %","5,70 %","12,40 %","20,0 €/m2","0,00 %","-0,80 %","12,20 %","17,5 €/m2","0,10 %","3,30 %","9,50 %","19,6 €/m2","0,10 %","-0,10 %","12,10 %","14,8 €/m2","2,60 %","3,30 %","11,20 %","13,7 €/m2","-0,10 %","3,60 %","9,30 %","13,8 €/m2","0,90 %","2,50 %","8,50 %","13,2 €/m2","2,50 %","2,50 %","10,20 %","16,0 €/m2","1,80 %","5,60 %","8,80 %","12,1 €/m2","-1,00 %","0,30 %","8,00 %","13,3 €/m2","-0,40 %","1,60 %","8,00 %","17,4 €/m2","1,40 %","1,50 %","12,00 %","20,3 €/m2","1,40 %","2,20 %","12,60 %","13,1 €/m2","0,30 %","5,60 %","9,90 %","17,1 €/m2","1,30 %","1,80 %","11,40 %","13,3 €/m2","-0,90 %","1,90 %","15,10 %","11,4 €/m2","1,30 %","0,00 %","6,90 %","12,8 €/m2","4,50 %","7,40 %","12,60 %","12,0 €/m2","1,00 %","2,10 %","9,40 %"
01/03/23,"16,2 €/m2","0,20 %","2,70 %","10,40 %","16,3 €/m2","1,10 %","1,60 %","8,70 %","12,7 €/m2","1,00 %","1,30 %","4,70 %","12,9 €/m2","2,90 %","2,50 %","10,50 %","20,0 €/m2","-2,30 %","2,40 %","12,70 %","17,5 €/m2","0,70 %","4,80 %","9,80 %","19,6 €/m2","0,40 %","2,20 %","13,70 %","14,4 €/m2","1,60 %","1,50 %","10,00 %","13,7 €/m2","1,90 %","4,60 %","9,30 %","13,7 €/m2","0,90 %","2,40 %","7,60 %","12,9 €/m2","0,90 %","0,00 %","7,50 %","15,7 €/m2","2,40 %","3,50 %","8,80 %","12,2 €/m2","1,10 %","2,10 %","9,50 %","13,4 €/m2","2,00 %","3,90 %","12,00 %","17,2 €/m2","0,70 %","1,50 %","10,90 %","20,0 €/m2","0,00 %","2,50 %","11,90 %","13,1 €/m2","3,60 %","5,40 %","11,80 %","16,9 €/m2","0,10 %","2,40 %","10,50 %","13,4 €/m2","-0,50 %","5,80 %","20,80 %","11,2 €/m2","-0,30 %","0,10 %","6,70 %","12,2 €/m2","3,40 %","2,80 %","9,60 %","11,9 €/m2","-0,10 %","0,60 %","10,20 %"
01/02/23,"16,2 €/m2","1,10 %","2,50 %","11,20 %","16,1 €/m2","-0,40 %","0,80 %","7,50 %","12,5 €/m2","0,50 %","0,90 %","7,40 %","12,6 €/m2","-0,30 %","0,30 %","8,10 %","20,5 €/m2","1,50 %","7,20 %","16,00 %","17,4 €/m2","2,50 %","4,10 %","11,30 %","19,5 €/m2","-0,70 %","3,80 %","14,20 %","14,2 €/m2","-0,90 %","1,20 %","8,90 %","13,5 €/m2","1,80 %","2,70 %","8,40 %","13,6 €/m2","0,70 %","2,20 %","7,70 %","12,8 €/m2","-0,90 %","-1,80 %","8,30 %","15,3 €/m2","1,30 %","-0,40 %","8,00 %","12,1 €/m2","0,20 %","1,50 %","9,00 %","13,1 €/m2","0,00 %","3,20 %","9,70 %","17,1 €/m2","-0,60 %","0,70 %","12,60 %","20,0 €/m2","0,80 %","4,30 %","13,00 %","12,7 €/m2","1,70 %","2,60 %","9,70 %","16,9 €/m2","0,40 %","3,70 %","11,00 %","13,5 €/m2","3,30 %","7,10 %","21,10 %","11,3 €/m2","-0,90 %","-0,50 %","7,90 %","11,8 €/m2","-0,60 %","0,30 %","5,10 %","11,9 €/m2","1,10 %","0,90 %","10,40 %"
01/01/23,"16,0 €/m2","1,30 %","0,40 %","11,00 %","16,2 €/m2","0,90 %","3,10 %","10,30 %","12,5 €/m2","-0,20 %","2,70 %","7,60 %","12,6 €/m2","-0,10 %","0,90 %","8,00 %","20,2 €/m2","3,20 %","7,10 %","16,50 %","16,9 €/m2","1,50 %","1,50 %","10,40 %","19,6 €/m2","2,50 %","6,60 %","14,80 %","14,3 €/m2","0,80 %","3,80 %","10,20 %","13,2 €/m2","0,80 %","1,40 %","6,30 %","13,5 €/m2","0,80 %","2,30 %","7,60 %","12,9 €/m2","0,00 %","0,30 %","10,00 %","15,1 €/m2","-0,20 %","-2,70 %","7,20 %","12,1 €/m2","0,80 %","0,70 %","9,10 %","13,1 €/m2","1,90 %","2,20 %","9,40 %","17,2 €/m2","1,40 %","2,90 %","14,70 %","19,8 €/m2","1,70 %","2,20 %","15,20 %","12,4 €/m2","0,00 %","0,90 %","8,40 %","16,8 €/m2","1,90 %","4,00 %","11,40 %","13,1 €/m2","2,90 %","3,20 %","16,70 %","11,4 €/m2","1,30 %","1,00 %","8,80 %","11,9 €/m2","0,00 %","1,30 %","6,30 %","11,8 €/m2","-0,50 %","0,40 %","8,20 %"
01/12/22,"15,8 €/m2","0,00 %","-1,00 %","10,80 %","16,0 €/m2","0,30 %","3,30 %","10,10 %","12,5 €/m2","0,60 %","4,20 %","7,40 %","12,6 €/m2","0,70 %","1,00 %","8,60 %","19,5 €/m2","2,30 %","5,20 %","13,90 %","16,7 €/m2","0,00 %","0,20 %","8,70 %","19,2 €/m2","2,00 %","6,20 %","12,70 %","14,2 €/m2","1,30 %","2,90 %","10,50 %","13,1 €/m2","0,00 %","1,70 %","6,60 %","13,4 €/m2","0,70 %","1,80 %","7,60 %","12,9 €/m2","-0,90 %","1,10 %","10,30 %","15,2 €/m2","-1,50 %","-2,50 %","8,70 %","12,0 €/m2","0,50 %","-0,50 %","8,30 %","12,9 €/m2","1,30 %","1,50 %","7,50 %","16,9 €/m2","-0,10 %","4,60 %","14,80 %","19,5 €/m2","1,80 %","1,30 %","13,70 %","12,4 €/m2","0,90 %","1,70 %","8,90 %","16,5 €/m2","1,40 %","2,10 %","10,00 %","12,7 €/m2","0,80 %","0,00 %","12,70 %","11,2 €/m2","-0,90 %","0,70 %","8,60 %","11,9 €/m2","0,80 %","2,20 %","6,50 %","11,8 €/m2","0,20 %","1,30 %","8,80 %"
01/11/22,"15,8 €/m2","-0,90 %","0,50 %","9,90 %","16,0 €/m2","1,80 %","2,80 %","10,00 %","12,4 €/m2","2,20 %","2,30 %","8,30 %","12,5 €/m2","0,20 %","1,90 %","7,50 %","19,1 €/m2","1,40 %","4,10 %","12,30 %","16,7 €/m2","0,00 %","1,20 %","8,80 %","18,8 €/m2","2,00 %","5,00 %","10,60 %","14,0 €/m2","1,60 %","3,10 %","9,70 %","13,1 €/m2","0,50 %","2,00 %","7,20 %","13,3 €/m2","0,80 %","2,70 %","6,40 %","13,0 €/m2","1,30 %","4,00 %","11,60 %","15,4 €/m2","-1,00 %","-0,60 %","8,30 %","11,9 €/m2","-0,60 %","0,10 %","8,90 %","12,7 €/m2","-1,00 %","2,10 %","5,50 %","16,9 €/m2","1,50 %","5,80 %","14,40 %","19,2 €/m2","-1,30 %","1,20 %","11,40 %","12,3 €/m2","0,00 %","3,00 %","8,50 %","16,3 €/m2","0,70 %","2,20 %","10,40 %","12,6 €/m2","-0,40 %","-1,70 %","12,20 %","11,3 €/m2","0,60 %","2,70 %","9,40 %","11,8 €/m2","0,40 %","1,60 %","5,90 %","11,8 €/m2","0,60 %","2,90 %","8,70 %"
01/10/22,"15,9 €/m2","-0,10 %","2,80 %","10,20 %","15,7 €/m2","1,10 %","1,50 %","8,40 %","12,2 €/m2","1,30 %","0,10 %","5,50 %","12,5 €/m2","0,00 %","2,20 %","8,20 %","18,8 €/m2","1,30 %","4,20 %","11,70 %","16,7 €/m2","0,10 %","2,40 %","9,20 %","18,4 €/m2","2,00 %","3,50 %","10,10 %","13,8 €/m2","0,00 %","1,80 %","8,00 %","13,0 €/m2","1,20 %","1,80 %","7,10 %","13,2 €/m2","0,30 %","2,50 %","5,80 %","12,9 €/m2","0,80 %","2,80 %","9,10 %","15,6 €/m2","0,00 %","1,70 %","8,80 %","12,0 €/m2","-0,40 %","5,90 %","10,80 %","12,8 €/m2","1,20 %","5,20 %","7,30 %","16,7 €/m2","3,10 %","4,30 %","11,80 %","19,4 €/m2","0,90 %","4,90 %","12,40 %","12,3 €/m2","0,80 %","3,40 %","9,90 %","16,2 €/m2","0,10 %","2,60 %","10,30 %","12,7 €/m2","-0,30 %","-1,10 %","11,00 %","11,2 €/m2","1,10 %","2,40 %","8,10 %","11,7 €/m2","0,90 %","0,30 %","5,40 %","11,7 €/m2","0,50 %","3,70 %","8,30 %"
01/09/22,"15,9 €/m2","1,50 %","4,60 %","10,20 %","15,5 €/m2","-0,10 %","2,80 %","7,90 %","12,0 €/m2","-1,30 %","-0,60 %","5,40 %","12,5 €/m2","1,60 %","4,10 %","9,20 %","18,6 €/m2","1,30 %","3,30 %","11,60 %","16,7 €/m2","1,00 %","3,60 %","10,50 %","18,1 €/m2","0,90 %","1,80 %","9,60 %","13,8 €/m2","1,50 %","1,60 %","8,80 %","12,9 €/m2","0,30 %","1,40 %","7,00 %","13,1 €/m2","1,60 %","3,10 %","5,90 %","12,8 €/m2","1,90 %","3,30 %","10,50 %","15,6 €/m2","0,40 %","3,60 %","8,30 %","12,0 €/m2","1,00 %","6,60 %","11,80 %","12,7 €/m2","1,90 %","3,40 %","9,10 %","16,2 €/m2","1,00 %","2,90 %","9,10 %","19,2 €/m2","1,60 %","4,80 %","13,20 %","12,2 €/m2","2,20 %","1,50 %","9,40 %","16,2 €/m2","1,40 %","3,80 %","11,10 %","12,7 €/m2","-0,90 %","3,30 %","12,80 %","11,1 €/m2","1,00 %","1,40 %","7,00 %","11,6 €/m2","0,20 %","-0,40 %","5,50 %","11,7 €/m2","1,80 %","3,60 %","10,00 %"
