mes,precio_m2,var_mensual,var_trimest,var_anual,zona
01/06/23,4.015 €/m2,"0,90 %","2,00 %","5,10 %",GLOBAL
01/05/23,3.979 €/m2,"0,10 %","2,00 %","4,90 %",GLOBAL
01/04/23,3.977 €/m2,"1,10 %","2,80 %","5,60 %",GLOBAL
01/03/23,3.935 €/m2,"0,90 %","1,40 %","5,20 %",GLOBAL
01/02/23,3.900 €/m2,"0,80 %","-0,40 %","4,50 %",GLOBAL
01/01/23,3.870 €/m2,"-0,30 %","-1,20 %","4,80 %",GLOBAL
01/12/22,3.881 €/m2,"-0,90 %","-0,80 %","6,30 %",GLOBAL
01/11/22,3.916 €/m2,"0,00 %","0,60 %","8,40 %",GLOBAL
01/10/22,3.916 €/m2,"0,10 %","1,70 %","8,10 %",GLOBAL
01/09/22,3.912 €/m2,"0,50 %","2,40 %","7,10 %",GLOBAL
01/08/22,3.893 €/m2,"1,10 %","2,60 %","6,60 %",GLOBAL
01/07/22,3.852 €/m2,"0,80 %","2,20 %","4,60 %",GLOBAL
01/06/22,3.821 €/m2,"0,70 %","2,10 %","3,80 %",GLOBAL
01/05/22,3.794 €/m2,"0,70 %","1,70 %","3,90 %",GLOBAL
01/04/22,3.767 €/m2,"0,70 %","2,00 %","4,00 %",GLOBAL
01/03/22,3.741 €/m2,"0,30 %","2,40 %","3,40 %",GLOBAL
01/02/22,3.731 €/m2,"1,10 %","3,20 %","3,50 %",GLOBAL
01/01/22,3.692 €/m2,"1,10 %","2,00 %","2,90 %",GLOBAL
01/12/21,3.652 €/m2,"1,00 %","0,00 %","1,50 %",GLOBAL
01/11/21,3.614 €/m2,"-0,20 %","-1,10 %","0,50 %",GLOBAL
01/10/21,3.622 €/m2,"-0,80 %","-1,70 %","0,90 %",GLOBAL
01/09/21,3.651 €/m2,"-0,10 %","-0,80 %","1,20 %",GLOBAL
01/08/21,3.654 €/m2,"-0,80 %","0,10 %","1,00 %",GLOBAL
01/07/21,3.683 €/m2,"0,10 %","1,70 %","1,10 %",GLOBAL
01/06/21,3.681 €/m2,"0,80 %","1,70 %","0,10 %",GLOBAL
01/05/21,3.652 €/m2,"0,90 %","1,30 %","-1,60 %",GLOBAL
01/04/21,3.621 €/m2,"0,10 %","0,90 %","-1,30 %",GLOBAL
01/03/21,3.618 €/m2,"0,30 %","0,60 %","-0,90 %",GLOBAL
01/02/21,3.607 €/m2,"0,50 %","0,30 %","-0,90 %",GLOBAL
01/01/21,3.589 €/m2,"-0,20 %","0,00 %","-1,00 %",GLOBAL
01/12/20,3.597 €/m2,"0,00 %","-0,30 %","-1,20 %",GLOBAL
01/11/20,3.595 €/m2,"0,20 %","-0,70 %","-1,70 %",GLOBAL
01/10/20,3.590 €/m2,"-0,50 %","-1,50 %","-2,40 %",GLOBAL
01/09/20,3.608 €/m2,"-0,30 %","-1,90 %","-1,70 %",GLOBAL
01/08/20,3.619 €/m2,"-0,70 %","-2,50 %","-1,90 %",GLOBAL
01/07/20,3.645 €/m2,"-0,90 %","-0,70 %","-1,70 %",GLOBAL
01/06/20,3.679 €/m2,"-0,90 %","0,80 %","-0,80 %",GLOBAL
01/05/20,3.710 €/m2,"1,10 %","2,00 %","-0,30 %",GLOBAL
01/04/20,3.669 €/m2,"0,50 %","1,20 %","-1,40 %",GLOBAL
01/03/20,3.650 €/m2,"0,30 %","0,30 %","-1,90 %",GLOBAL
01/02/20,3.638 €/m2,"0,40 %","-0,60 %","-1,70 %",GLOBAL
01/01/20,3.624 €/m2,"-0,40 %","-1,40 %","-1,20 %",GLOBAL
01/12/19,3.639 €/m2,"-0,50 %","-0,80 %","-0,10 %",GLOBAL
01/11/19,3.659 €/m2,"-0,50 %","-0,80 %","0,50 %",GLOBAL
01/10/19,3.677 €/m2,"0,20 %","-0,80 %","1,50 %",GLOBAL
01/09/19,3.669 €/m2,"-0,50 %","-1,10 %","1,80 %",GLOBAL
01/08/19,3.688 €/m2,"-0,50 %","-0,90 %","3,00 %",GLOBAL
01/07/19,3.707 €/m2,"-0,10 %","-0,40 %","4,80 %",GLOBAL
01/06/19,3.709 €/m2,"-0,30 %","-0,30 %","6,90 %",GLOBAL
01/05/19,3.720 €/m2,"0,00 %","0,50 %","9,40 %",GLOBAL
01/04/19,3.721 €/m2,"0,00 %","1,40 %","11,80 %",GLOBAL
01/03/19,3.719 €/m2,"0,50 %","2,00 %","14,50 %",GLOBAL
01/02/19,3.701 €/m2,"0,90 %","1,60 %","16,70 %",GLOBAL
01/01/19,3.668 €/m2,"0,60 %","1,20 %","18,80 %",GLOBAL
01/12/18,3.644 €/m2,"0,10 %","1,10 %","20,50 %",GLOBAL
01/11/18,3.642 €/m2,"0,50 %","1,70 %","21,70 %",GLOBAL
01/10/18,3.624 €/m2,"0,50 %","2,50 %","21,70 %",GLOBAL
01/09/18,3.605 €/m2,"0,70 %","3,90 %","22,50 %",GLOBAL
01/08/18,3.580 €/m2,"1,30 %","5,30 %","23,00 %",GLOBAL
01/07/18,3.536 €/m2,"1,90 %","6,30 %","22,40 %",GLOBAL
