Mes,GLOBAL_precio_m2,GLOBAL_var_mensual,GLOBAL_var_trimest,GLOBAL_var_anual,ARGANZUELA_precio_m2,ARGANZUELA_var_mensual,ARGANZUELA_var_trimest,ARGANZUELA_var_anual,BARAJAS_precio_m2,BARAJAS_var_mensual,BARAJAS_var_trimest,BARAJAS_var_anual,CARABANCHEL_precio_m2,CARABANCHEL_var_mensual,CARABANCHEL_var_trimest,CARABANCHEL_var_anual,CENTRO_precio_m2,CENTRO_var_mensual,CENTRO_var_trimest,CENTRO_var_anual,CHAMARTIN_precio_m2,CHAMARTIN_var_mensual,CHAMARTIN_var_trimest,CHAMARTIN_var_anual,CHAMBERI_precio_m2,CHAMBERI_var_mensual,CHAMBERI_var_trimest,CHAMBERI_var_anual,CIUDAD_LINEAL_precio_m2,CIUDAD_LINEAL_var_mensual,CIUDAD_LINEAL_var_trimest,CIUDAD_LINEAL_var_anual,FUENCARRAL_precio_m2,FUENCARRAL_var_mensual,FUENCARRAL_var_trimest,FUENCARRAL_var_anual,HORTALEZA_precio_m2,HORTALEZA_var_mensual,HORTALEZA_var_trimest,HORTALEZA_var_anual,LATINA_precio_m2,LATINA_var_mensual,LATINA_var_trimest,LATINA_var_anual,MONCLOA_precio_m2,MONCLOA_var_mensual,MONCLOA_var_trimest,MONCLOA_var_anual,MORATALAZ_precio_m2,MORATALAZ_var_mensual,MORATALAZ_var_trimest,MORATALAZ_var_anual,PUENTE_VALLECAS_precio_m2,PUENTE_VALLECAS_var_mensual,PUENTE_VALLECAS_var_trimest,PUENTE_VALLECAS_var_anual,RETIRO_precio_m2,RETIRO_var_mensual,RETIRO_var_trimest,RETIRO_var_anual,SALAMANCA_precio_m2,SALAMANCA_var_mensual,SALAMANCA_var_trimest,SALAMANCA_var_anual,SAN_BLAS_precio_m2,SAN_BLAS_var_mensual,SAN_BLAS_var_trimest,SAN_BLAS_var_anual,TETUAN_precio_m2,TETUAN_var_mensual,TETUAN_var_trimest,TETUAN_var_anual,USERA_precio_m2,USERA_var_mensual,USERA_var_trimest,USERA_var_anual,VICALVARO_precio_m2,VICALVARO_var_mensual,VICALVARO_var_trimest,VICALVARO_var_anual,VILLA_VALLECAS_precio_m2,VILLA_VALLECAS_var_mensual,VILLA_VALLECAS_var_trimest,VILLA_VALLECAS_var_anual,VILLAVERDE_precio_m2,VILLAVERDE_var_mensual,VILLAVERDE_var_trimest,VILLAVERDE_var_anual
01/06/23,4.015 €/m2,"0,90 %","2,00 %","5,10 %",4.392 €/m2,"-0,10 %","0,80 %","2,80 %",3.507 €/m2,"2,80 %","3,20 %","7,50 %",2.457 €/m2,"0,40 %","3,50 %","8,20 %",5.368 €/m2,"0,20 %","2,30 %","5,40 %",5.701 €/m2,"0,80 %","0,80 %","4,80 %",5.943 €/m2,"0,40 %","0,30 %","5,00 %",3.382 €/m2,"-0,10 %","3,10 %","7,70 %",3.831 €/m2,"0,20 %","1,50 %","2,70 %",3.984 €/m2,"2,10 %","4,40 %","1,00 %",2.527 €/m2,"0,20 %","0,20 %","5,10 %",4.413 €/m2,"0,20 %","1,50 %","4,80 %",2.784 €/m2,"1,40 %","4,50 %","4,70 %",2.182 €/m2,"0,50 %","3,90 %","5,40 %",5.061 €/m2,"1,30 %","2,50 %","3,70 %",6.627 €/m2,"1,50 %","2,10 %","3,30 %",2.778 €/m2,"0,70 %","0,10 %","5,20 %",4.110 €/m2,"0,40 %","1,70 %","7,30 %",2.276 €/m2,"1,30 %","2,00 %","6,70 %",2.940 €/m2,"0,80 %","4,70 %","3,70 %",2.640 €/m2,"-1,80 %","1,40 %","3,50 %",1.926 €/m2,"0,70 %","3,40 %","7,10 %"
01/05/23,3.979 €/m2,"0,10 %","2,00 %","4,90 %",4.396 €/m2,"0,50 %","1,00 %","4,80 %",3.411 €/m2,"1,80 %","0,10 %","5,20 %",2.448 €/m2,"2,10 %","3,00 %","9,30 %",5.357 €/m2,"1,20 %","4,00 %","6,30 %",5.654 €/m2,"0,70 %","-0,70 %","5,10 %",5.921 €/m2,"-0,10 %","0,50 %","5,90 %",3.384 €/m2,"1,00 %","4,00 %","8,30 %",3.825 €/m2,"0,60 %","1,80 %","3,00 %",3.900 €/m2,"0,90 %","1,80 %","-1,00 %",2.522 €/m2,"-0,80 %","1,00 %","8,90 %",4.406 €/m2,"0,20 %","1,50 %","4,80 %",2.744 €/m2,"2,10 %","3,80 %","3,20 %",2.172 €/m2,"1,70 %","3,10 %","7,60 %",4.998 €/m2,"1,80 %","0,60 %","1,40 %",6.532 €/m2,"0,70 %","1,60 %","2,80 %",2.758 €/m2,"-1,20 %","-0,70 %","5,40 %",4.094 €/m2,"0,70 %","1,60 %","8,00 %",2.246 €/m2,"-0,20 %","2,70 %","6,40 %",2.918 €/m2,"1,90 %","3,90 %","6,50 %",2.688 €/m2,"1,50 %","5,40 %","7,00 %",1.912 €/m2,"1,40 %","2,30 %","8,30 %"
01/04/23,3.977 €/m2,"1,10 %","2,80 %","5,60 %",4.376 €/m2,"0,40 %","1,00 %","4,40 %",3.351 €/m2,"-1,40 %","-1,20 %","2,50 %",2.398 €/m2,"1,00 %","1,40 %","8,60 %",5.292 €/m2,"0,90 %","3,00 %","6,00 %",5.614 €/m2,"-0,80 %","0,10 %","5,90 %",5.928 €/m2,"0,10 %","1,20 %","7,80 %",3.352 €/m2,"2,20 %","3,30 %","8,70 %",3.803 €/m2,"0,80 %","0,80 %","1,80 %",3.865 €/m2,"1,30 %","1,80 %","-2,20 %",2.543 €/m2,"0,80 %","3,40 %","10,60 %",4.397 €/m2,"1,10 %","2,70 %","5,20 %",2.687 €/m2,"0,80 %","1,30 %","1,10 %",2.136 €/m2,"1,70 %","1,10 %","7,40 %",4.908 €/m2,"-0,60 %","-1,80 %","0,90 %",6.489 €/m2,"0,00 %","1,30 %","3,50 %",2.792 €/m2,"0,60 %","0,60 %","7,40 %",4.068 €/m2,"0,70 %","1,70 %","7,10 %",2.250 €/m2,"0,90 %","2,50 %","7,90 %",2.865 €/m2,"2,00 %","1,70 %","11,20 %",2.648 €/m2,"1,60 %","3,70 %","6,40 %",1.885 €/m2,"1,20 %","1,60 %","8,20 %"
01/03/23,3.935 €/m2,"0,90 %","1,40 %","5,20 %",4.358 €/m2,"0,10 %","0,60 %","5,40 %",3.399 €/m2,"-0,30 %","0,20 %","2,00 %",2.374 €/m2,"-0,10 %","0,30 %","8,60 %",5.247 €/m2,"1,90 %","2,90 %","5,10 %",5.659 €/m2,"-0,60 %","1,50 %","8,40 %",5.923 €/m2,"0,50 %","1,80 %","8,20 %",3.281 €/m2,"0,80 %","0,70 %","8,00 %",3.775 €/m2,"0,50 %","-0,90 %","1,00 %",3.816 €/m2,"-0,40 %","-0,90 %","-3,30 %",2.523 €/m2,"1,00 %","1,90 %","9,90 %",4.348 €/m2,"0,10 %","1,40 %","5,10 %",2.665 €/m2,"0,80 %","-0,20 %","3,80 %",2.100 €/m2,"-0,30 %","-0,90 %","7,70 %",4.936 €/m2,"-0,70 %","-1,30 %","2,60 %",6.487 €/m2,"0,90 %","1,00 %","5,40 %",2.776 €/m2,"-0,10 %","-0,30 %","6,60 %",4.041 €/m2,"0,30 %","1,10 %","7,90 %",2.231 €/m2,"2,00 %","1,50 %","8,90 %",2.809 €/m2,"0,00 %","-0,30 %","8,50 %",2.605 €/m2,"2,20 %","3,40 %","6,00 %",1.862 €/m2,"-0,30 %","0,80 %","7,80 %"
01/02/23,3.900 €/m2,"0,80 %","-0,40 %","4,50 %",4.354 €/m2,"0,50 %","0,50 %","5,10 %",3.407 €/m2,"0,50 %","-1,10 %","1,60 %",2.377 €/m2,"0,50 %","0,90 %","9,90 %",5.152 €/m2,"0,30 %","0,30 %","4,40 %",5.695 €/m2,"1,50 %","2,90 %","9,60 %",5.891 €/m2,"0,60 %","1,30 %","8,20 %",3.255 €/m2,"0,30 %","-0,80 %","6,80 %",3.758 €/m2,"-0,40 %","-2,10 %","1,30 %",3.832 €/m2,"0,90 %","-1,90 %","-0,80 %",2.498 €/m2,"1,60 %","0,70 %","9,10 %",4.343 €/m2,"1,40 %","1,00 %","5,70 %",2.643 €/m2,"-0,40 %","-1,20 %","1,80 %",2.107 €/m2,"-0,20 %","-0,70 %","8,60 %",4.970 €/m2,"-0,60 %","-0,60 %","5,00 %",6.426 €/m2,"0,30 %","-0,50 %","6,20 %",2.778 €/m2,"0,10 %","-0,60 %","7,60 %",4.030 €/m2,"0,80 %","1,20 %","9,20 %",2.186 €/m2,"-0,40 %","-0,20 %","7,70 %",2.809 €/m2,"-0,30 %","-1,60 %","8,80 %",2.549 €/m2,"-0,20 %","1,70 %","5,90 %",1.869 €/m2,"0,70 %","1,40 %","9,10 %"
01/01/23,3.870 €/m2,"-0,30 %","-1,20 %","4,80 %",4.333 €/m2,"0,10 %","0,60 %","6,30 %",3.391 €/m2,"-0,10 %","0,00 %","1,40 %",2.366 €/m2,"0,00 %","1,10 %","9,70 %",5.137 €/m2,"0,70 %","0,10 %","5,70 %",5.610 €/m2,"0,60 %","0,90 %","8,20 %",5.857 €/m2,"0,70 %","0,80 %","7,80 %",3.244 €/m2,"-0,50 %","-1,50 %","8,30 %",3.774 €/m2,"-0,90 %","-1,60 %","3,40 %",3.797 €/m2,"-1,40 %","-3,20 %","-0,40 %",2.460 €/m2,"-0,70 %","1,20 %","6,40 %",4.282 €/m2,"-0,10 %","0,00 %","4,40 %",2.654 €/m2,"-0,60 %","-0,70 %","3,60 %",2.112 €/m2,"-0,40 %","-0,90 %","8,80 %",5.000 €/m2,"-0,10 %","0,00 %","7,70 %",6.408 €/m2,"-0,20 %","-1,00 %","7,00 %",2.775 €/m2,"-0,30 %","-0,50 %","7,00 %",4.000 €/m2,"0,00 %","2,20 %","9,00 %",2.195 €/m2,"-0,20 %","1,90 %","7,70 %",2.817 €/m2,"0,00 %","-2,50 %","12,80 %",2.554 €/m2,"1,40 %","2,60 %","6,10 %",1.856 €/m2,"0,50 %","1,30 %","9,30 %"
01/12/22,3.881 €/m2,"-0,90 %","-0,80 %","6,30 %",4.331 €/m2,"0,00 %","1,50 %","6,10 %",3.394 €/m2,"-1,50 %","3,30 %","1,10 %",2.366 €/m2,"0,40 %","1,10 %","9,80 %",5.101 €/m2,"-0,70 %","-0,30 %","5,70 %",5.577 €/m2,"0,80 %","1,20 %","9,50 %",5.818 €/m2,"0,00 %","0,40 %","7,80 %",3.260 €/m2,"-0,70 %","-1,20 %","9,20 %",3.808 €/m2,"-0,70 %","1,00 %","5,00 %",3.850 €/m2,"-1,40 %","-2,00 %","1,60 %",2.477 €/m2,"-0,10 %","1,80 %","8,40 %",4.287 €/m2,"-0,30 %","1,40 %","4,90 %",2.670 €/m2,"-0,20 %","-0,90 %","4,90 %",2.120 €/m2,"-0,10 %","-1,30 %","10,00 %",5.004 €/m2,"0,10 %","1,20 %","7,40 %",6.422 €/m2,"-0,50 %","-0,70 %","8,10 %",2.783 €/m2,"-0,40 %","0,10 %","6,80 %",3.999 €/m2,"0,40 %","2,30 %","9,10 %",2.198 €/m2,"0,30 %","2,50 %","8,60 %",2.818 €/m2,"-1,30 %","0,20 %","14,70 %",2.519 €/m2,"0,50 %","2,60 %","5,00 %",1.847 €/m2,"0,20 %","1,00 %","8,70 %"
01/11/22,3.916 €/m2,"0,00 %","0,60 %","8,40 %",4.331 €/m2,"0,50 %","0,60 %","6,10 %",3.447 €/m2,"1,60 %","3,70 %","2,10 %",2.355 €/m2,"0,70 %","2,20 %","10,20 %",5.136 €/m2,"0,10 %","0,50 %","6,50 %",5.533 €/m2,"-0,40 %","1,20 %","8,60 %",5.816 €/m2,"0,10 %","2,00 %","8,40 %",3.281 €/m2,"-0,40 %","0,20 %","10,80 %",3.837 €/m2,"0,00 %","1,80 %","6,70 %",3.905 €/m2,"-0,50 %","-1,00 %","2,70 %",2.480 €/m2,"2,00 %","0,90 %","9,20 %",4.299 €/m2,"0,40 %","2,10 %","6,10 %",2.675 €/m2,"0,10 %","-0,90 %","6,50 %",2.123 €/m2,"-0,30 %","-1,00 %","10,40 %",5.001 €/m2,"0,00 %","2,70 %","6,20 %",6.457 €/m2,"-0,20 %","0,10 %","9,20 %",2.794 €/m2,"0,20 %","3,00 %","8,70 %",3.984 €/m2,"1,80 %","1,70 %","9,00 %",2.191 €/m2,"1,80 %","2,50 %","9,70 %",2.853 €/m2,"-1,20 %","0,10 %","17,90 %",2.507 €/m2,"0,70 %","-1,40 %","4,00 %",1.843 €/m2,"0,60 %","-0,20 %","8,10 %"
01/10/22,3.916 €/m2,"0,10 %","1,70 %","8,10 %",4.308 €/m2,"1,00 %","-0,10 %","4,60 %",3.391 €/m2,"3,20 %","3,60 %","0,70 %",2.340 €/m2,"0,00 %","1,80 %","9,40 %",5.130 €/m2,"0,30 %","0,00 %","7,00 %",5.558 €/m2,"0,80 %","0,90 %","9,20 %",5.811 €/m2,"0,30 %","2,40 %","8,80 %",3.294 €/m2,"-0,10 %","3,00 %","12,00 %",3.836 €/m2,"1,80 %","2,70 %","7,00 %",3.923 €/m2,"-0,10 %","-1,10 %","1,90 %",2.432 €/m2,"-0,10 %","0,30 %","7,30 %",4.281 €/m2,"1,30 %","2,20 %","6,30 %",2.672 €/m2,"-0,90 %","0,70 %","6,90 %",2.130 €/m2,"-0,80 %","0,60 %","10,90 %",4.998 €/m2,"1,10 %","1,50 %","6,10 %",6.470 €/m2,"0,00 %","0,50 %","9,00 %",2.789 €/m2,"0,30 %","4,40 %","8,70 %",3.914 €/m2,"0,10 %","0,60 %","6,80 %",2.153 €/m2,"0,40 %","1,60 %","8,20 %",2.888 €/m2,"2,70 %","2,30 %","20,20 %",2.488 €/m2,"1,30 %","-1,00 %","3,60 %",1.832 €/m2,"0,30 %","0,00 %","7,70 %"
01/09/22,3.912 €/m2,"0,50 %","2,40 %","7,10 %",4.265 €/m2,"-0,90 %","-0,20 %","4,20 %",3.285 €/m2,"-1,20 %","0,70 %","-1,30 %",2.340 €/m2,"1,60 %","3,10 %","9,40 %",5.115 €/m2,"0,10 %","0,50 %","6,70 %",5.513 €/m2,"0,90 %","1,30 %","8,10 %",5.796 €/m2,"1,70 %","2,50 %","9,00 %",3.298 €/m2,"0,70 %","5,10 %","11,40 %",3.770 €/m2,"0,00 %","1,00 %","5,10 %",3.927 €/m2,"-0,40 %","-0,40 %","1,60 %",2.434 €/m2,"-1,00 %","1,20 %","7,20 %",4.227 €/m2,"0,40 %","0,40 %","4,90 %",2.695 €/m2,"-0,10 %","1,40 %","4,90 %",2.148 €/m2,"0,20 %","3,70 %","11,80 %",4.945 €/m2,"1,60 %","1,30 %","5,10 %",6.469 €/m2,"0,30 %","0,90 %","8,70 %",2.780 €/m2,"2,40 %","5,20 %","7,50 %",3.909 €/m2,"-0,20 %","2,00 %","6,80 %",2.144 €/m2,"0,30 %","0,50 %","7,00 %",2.812 €/m2,"-1,40 %","-0,80 %","18,70 %",2.456 €/m2,"-3,40 %","-3,70 %","1,40 %",1.828 €/m2,"-1,00 %","1,70 %","7,20 %"
