date,precio_m2,var_mensual,var_trimest,var_anual,distrito,month,year
2023-06-01,16.8,1.2,3.7,10.2,madrid,6,2023
2023-05-01,16.6,1.2,2.6,11.0,madrid,5,2023
2023-04-01,16.4,1.2,2.5,10.3,madrid,4,2023
2023-03-01,16.2,0.2,2.7,10.4,madrid,3,2023
2023-02-01,16.2,1.1,2.5,11.2,madrid,2,2023
2023-01-01,16.0,1.3,0.4,11.0,madrid,1,2023
2022-12-01,15.8,0.0,1.0,10.8,madrid,12,2022
2022-11-01,15.8,0.9,0.5,9.9,madrid,11,2022
2022-10-01,15.9,0.1,2.8,10.2,madrid,10,2022
2022-09-01,15.9,1.5,4.6,10.2,madrid,9,2022
2022-08-01,15.7,1.4,5.1,9.2,madrid,8,2022
2022-07-01,15.5,1.7,4.3,8.2,madrid,7,2022
2022-06-01,15.2,2.0,3.9,6.5,madrid,6,2022
2022-05-01,15.0,0.6,2.8,4.7,madrid,5,2022
2022-04-01,14.9,1.3,3.2,3.7,madrid,4,2022
2022-03-01,14.7,0.9,3.0,1.9,madrid,3,2022
2022-02-01,14.5,0.9,1.2,1.0,madrid,2,2022
2022-01-01,14.4,1.1,0.4,0.4,madrid,1,2022
2021-12-01,14.3,0.8,1.5,3.2,madrid,12,2021
2021-11-01,14.4,0.7,0.1,4.3,madrid,11,2021
2021-10-01,14.5,0.0,0.9,6.1,madrid,10,2021
2021-09-01,14.5,0.6,1.1,7.6,madrid,9,2021
2021-08-01,14.4,0.3,0.7,9.0,madrid,8,2021
2021-07-01,14.3,0.2,0.0,10.3,madrid,7,2021
2021-06-01,14.3,0.2,0.7,12.0,madrid,6,2021
2021-05-01,14.3,0.4,0.8,12.4,madrid,5,2021
2021-04-01,14.3,0.5,0.9,9.8,madrid,4,2021
2021-03-01,14.4,0.0,2.2,8.2,madrid,3,2021
2021-02-01,14.4,0.4,4.1,7.7,madrid,2,2021
2021-01-01,14.5,1.8,6.1,6.7,madrid,1,2021
2020-12-01,14.7,1.9,5.9,5.4,madrid,12,2020
2020-11-01,15.0,2.5,5.0,4.5,madrid,11,2020
2020-10-01,15.4,1.6,3.7,3.1,madrid,10,2020
2020-09-01,15.7,1.0,3.7,1.5,madrid,9,2020
2020-08-01,15.8,1.1,3.0,0.5,madrid,8,2020
2020-07-01,16.0,1.6,0.6,2.4,madrid,7,2020
2020-06-01,16.3,0.3,3.6,4.2,madrid,6,2020
2020-05-01,16.3,2.5,4.5,4.8,madrid,5,2020
2020-04-01,15.9,1.3,2.6,2.4,madrid,4,2020
2020-03-01,15.7,0.6,0.9,1.5,madrid,3,2020
2020-02-01,15.6,0.7,0.8,1.3,madrid,2,2020
2020-01-01,15.5,0.4,2.5,1.4,madrid,1,2020
2019-12-01,15.6,1.1,2.1,1.9,madrid,12,2019
2019-11-01,15.7,1.1,0.0,2.3,madrid,11,2019
2019-10-01,15.9,0.0,1.9,2.9,madrid,10,2019
2019-09-01,15.9,1.1,1.9,3.5,madrid,9,2019
2019-08-01,15.7,0.7,1.1,3.3,madrid,8,2019
