date,alquiler_madrid,comprar_madrid,alquiler_barcelona,comprar_barcelona,month,year
2004-01-01,65,23,46,15,1,2004
2004-02-01,69,27,43,15,2,2004
2004-03-01,59,18,48,9,3,2004
2004-04-01,69,23,52,12,4,2004
2004-05-01,68,20,55,9,5,2004
2004-06-01,73,21,59,9,6,2004
2004-07-01,80,21,67,13,7,2004
2004-08-01,100,19,62,15,8,2004
2004-09-01,91,28,66,15,9,2004
2004-10-01,68,20,51,15,10,2004
2004-11-01,67,24,43,14,11,2004
2004-12-01,60,27,42,20,12,2004
2005-01-01,65,26,50,15,1,2005
2005-02-01,72,24,52,17,2,2005
2005-03-01,70,25,54,15,3,2005
2005-04-01,65,23,51,15,4,2005
2005-05-01,71,21,52,12,5,2005
2005-06-01,74,19,51,10,6,2005
2005-07-01,73,20,68,12,7,2005
2005-08-01,83,24,60,16,8,2005
2005-09-01,79,26,58,16,9,2005
2005-10-01,60,25,46,14,10,2005
2005-11-01,57,22,43,15,11,2005
2005-12-01,45,25,35,16,12,2005
2006-01-01,59,22,43,13,1,2006
2006-02-01,63,19,37,14,2,2006
2006-03-01,54,19,42,14,3,2006
2006-04-01,56,20,42,15,4,2006
2006-05-01,58,17,47,10,5,2006
2006-06-01,63,18,46,12,6,2006
2006-07-01,65,18,51,13,7,2006
2006-08-01,76,24,53,13,8,2006
2006-09-01,75,21,50,14,9,2006
2006-10-01,58,21,43,13,10,2006
2006-11-01,47,20,37,12,11,2006
2006-12-01,47,26,30,16,12,2006
2007-01-01,59,21,42,14,1,2007
2007-02-01,58,19,39,13,2,2007
2007-03-01,57,17,40,13,3,2007
2007-04-01,56,21,41,14,4,2007
2007-05-01,63,20,46,12,5,2007
2007-06-01,68,21,47,13,6,2007
2007-07-01,68,21,50,15,7,2007
2007-08-01,78,25,50,15,8,2007
2007-09-01,80,22,49,15,9,2007
2007-10-01,63,23,42,15,10,2007
2007-11-01,60,22,39,15,11,2007
2007-12-01,48,30,28,18,12,2007
2008-01-01,73,26,47,16,1,2008
2008-02-01,63,24,39,15,2,2008
2008-03-01,63,23,40,14,3,2008
2008-04-01,64,21,40,13,4,2008
2008-05-01,63,21,39,14,5,2008
2008-06-01,64,19,38,14,6,2008
2008-07-01,68,20,42,16,7,2008
2008-08-01,73,24,42,14,8,2008
2008-09-01,67,24,44,16,9,2008
2008-10-01,56,23,33,14,10,2008
2008-11-01,52,23,33,16,11,2008
2008-12-01,43,29,25,17,12,2008
2009-01-01,58,24,33,15,1,2009
2009-02-01,57,23,36,15,2,2009
2009-03-01,55,22,38,16,3,2009
2009-04-01,64,24,38,16,4,2009
2009-05-01,65,24,40,15,5,2009
2009-06-01,71,20,42,13,6,2009
2009-07-01,65,24,49,15,7,2009
2009-08-01,76,29,46,17,8,2009
2009-09-01,70,26,44,17,9,2009
2009-10-01,57,26,39,15,10,2009
2009-11-01,54,29,36,16,11,2009
2009-12-01,46,34,29,17,12,2009
2010-01-01,62,31,40,18,1,2010
2010-02-01,61,30,37,17,2,2010
2010-03-01,61,27,37,15,3,2010
2010-04-01,60,25,40,16,4,2010
2010-05-01,61,26,38,15,5,2010
2010-06-01,59,24,39,13,6,2010
2010-07-01,55,23,40,15,7,2010
2010-08-01,63,26,41,16,8,2010
2010-09-01,59,28,39,15,9,2010
2010-10-01,50,28,33,15,10,2010
2010-11-01,50,30,30,18,11,2010
2010-12-01,43,34,27,20,12,2010
2011-01-01,66,34,42,22,1,2011
2011-02-01,64,33,44,19,2,2011
2011-03-01,57,32,41,18,3,2011
2011-04-01,55,30,42,19,4,2011
2011-05-01,67,30,47,19,5,2011
2011-06-01,67,28,48,18,6,2011
2011-07-01,70,31,50,21,7,2011
2011-08-01,77,35,52,21,8,2011
2011-09-01,74,35,53,21,9,2011
2011-10-01,61,36,39,20,10,2011
2011-11-01,56,36,41,21,11,2011
2011-12-01,52,41,34,24,12,2011
2012-01-01,66,38,42,23,1,2012
2012-02-01,64,33,46,20,2,2012
2012-03-01,63,33,44,21,3,2012
2012-04-01,61,35,42,22,4,2012
2012-05-01,68,35,45,21,5,2012
2012-06-01,68,32,44,20,6,2012
2012-07-01,69,36,55,22,7,2012
2012-08-01,76,39,51,24,8,2012
2012-09-01,72,39,48,24,9,2012
2012-10-01,57,39,39,22,10,2012
2012-11-01,52,39,39,23,11,2012
2012-12-01,47,40,33,28,12,2012
2013-01-01,65,39,44,25,1,2013
2013-02-01,57,37,42,24,2,2013
2013-03-01,62,36,42,24,3,2013
