,madrid,centro,arganzuela,retiro,salamanca,chamartin,tetuan,chamberi,fuencarral,moncloa,latina,carabanchel,usera,puente_vallecas,moratalaz,ciudad_lineal,hortaleza,villaverde,villa_vallecas,vicalvaro,san_blas,barajas,date
0,15044,16719,15961,18865,18930,19576,15444,19242,15129,18209,13326,12954,12188,11451,13947,15008,15439,11666,12112,12291,13709,15994,01/01/02
1,15916,17124,16705,20090,20187,20739,16203,20110,16139,19109,14246,13754,12964,12260,14993,15835,16326,12530,13105,13031,14465,16565,01/01/03
2,16827,18035,17796,20884,20983,21224,17022,20751,16957,19896,15006,14861,13766,13328,15716,16442,17438,13909,14466,14793,15732,18146,01/01/04
3,17439,18630,18426,21088,22342,22001,17709,21525,17886,20212,15894,15269,14088,13891,16664,17103,17806,14226,15254,14860,16206,18709,01/01/05
4,18772,20297,19863,22619,23924,23419,18746,23280,19447,21805,16946,16339,15176,14970,18151,18342,19322,15352,16853,16548,17510,20309,01/01/06
5,19838,21465,21035,23992,26157,25522,19558,24644,20817,23600,17616,17016,15654,15778,19005,19144,20381,16190,17406,17517,18306,22343,01/01/07
6,21152,22492,21884,26251,28278,27638,21347,26788,22727,25823,18529,17672,16352,16385,20430,20756,21879,16414,18783,18832,19274,23371,01/01/08
7,20639,21964,21605,25694,26061,25472,20276,25403,22039,23859,18531,17520,16766,16360,20242,20311,21601,16491,19115,18774,19557,23399,01/01/09
8,20302,21539,21705,25265,25148,25208,20205,24877,21771,23759,18377,17052,16025,15928,19936,20075,21405,15865,19119,18558,19129,23012,01/01/10
9,20784,22393,22281,26286,26881,26568,20960,25916,22288,24896,18319,17093,16031,15897,19955,20311,22015,15925,19032,18694,19435,23718,01/01/11
10,19838,21797,21742,24570,24040,23652,19679,23884,20866,22782,17939,16902,16115,15524,19670,19493,21079,15783,18557,18056,19012,22718,01/01/12
11,19973,22003,22116,24553,24304,24514,19831,24639,20841,23485,18146,16574,16041,15479,19831,19787,20956,15738,18327,17905,18740,23352,01/01/13
12,20205,22688,22479,24685,24539,24736,19664,24942,21434,24137,18152,17092,15580,15390,20102,19853,21584,15942,18625,17950,18694,23704,01/01/14
13,21176,23866,23904,26408,26041,26398,20656,26130,22426,24821,18873,17825,16222,16121,20717,20863,22643,16522,19219,18752,19403,24619,01/01/15
14,21888,25092,24754,27630,28017,27960,21447,27852,22883,25830,19188,18129,16595,16276,21069,21524,23587,16735,19538,18887,19804,25184,01/01/16
15,22364,26092,25643,28753,29082,29062,21731,28894,23545,26984,19274,18004,16465,16229,21443,21828,24502,16566,19954,19383,20036,25818,01/01/17
16,22542,26579,26295,29043,29206,29168,21882,28987,23545,26786,19646,18100,16786,16620,21890,21969,24404,16688,20143,19723,20098,25775,01/01/18
17,23463,27236,27672,30721,31197,31295,22925,30468,24644,28275,20241,18611,17446,17076,22484,22787,25437,17191,20551,20080,20531,26467,01/01/19
18,23621,27245,27291,30132,30148,30080,22914,29936,25091,28054,20696,19064,17675,17486,23133,23087,25688,17715,21642,20940,21369,27635,01/01/20
19,24013,27798,27872,30687,30659,30591,23249,30465,25537,28526,21013,19312,17897,17719,23543,23462,26182,17943,22048,21304,21691,28186,01/01/21
20,24405,28350,28454,31242,31170,31101,23583,30994,25983,28998,21331,19560,18118,17952,23954,23837,26677,18172,22454,21668,22013,28738,01/01/22
