date,month,year,arganzuela_extranjeros,arganzuela_nacionales,arganzuela_total,barajas_extranjeros,barajas_nacionales,barajas_total,carabanchel_extranjeros,carabanchel_nacionales,carabanchel_total,centro_extranjeros,centro_nacionales,centro_total,chamartin_extranjeros,chamartin_nacionales,chamartin_total,chamberi_extranjeros,chamberi_nacionales,chamberi_total,ciudad_lineal_extranjeros,ciudad_lineal_nacionales,ciudad_lineal_total,fuencarral_extranjeros,fuencarral_nacionales,fuencarral_total,hortaleza_extranjeros,hortaleza_nacionales,hortaleza_total,latina_extranjeros,latina_nacionales,latina_total,madrid_extranjeros,madrid_nacionales,madrid_total,moncloa_extranjeros,moncloa_nacionales,moncloa_total,moratalaz_extranjeros,moratalaz_nacionales,moratalaz_total,puente_vallecas_extranjeros,puente_vallecas_nacionales,puente_vallecas_total,retiro_extranjeros,retiro_nacionales,retiro_total,salamanca_extranjeros,salamanca_nacionales,salamanca_total,san_blas_extranjeros,san_blas_nacionales,san_blas_total,tetuan_extranjeros,tetuan_nacionales,tetuan_total,usera_extranjeros,usera_nacionales,usera_total,vicalvaro_extranjeros,vicalvaro_nacionales,vicalvaro_total,villa_vallecas_extranjeros,villa_vallecas_nacionales,villa_vallecas_total,villaverde_extranjeros,villaverde_nacionales,villaverde_total
2014-01-01,1,2014,16783,135269,152052,4508,41213,45721,42154,201419,243573,30578,104359,134937,13720,129404,143124,16043,123133,139176,28501,186470,214971,18801,214397,233198,16597,156525,173122,34982,203876,238858,421035,2755473,3176508,12540,103607,116147,8188,88283,96471,35621,193887,229508,8748,110400,119148,17183,126912,144095,16421,137367,153788,27999,125144,153143,25594,108560,134154,8684,61179,69863,11953,86980,98933,25430,117072,142502
2014-02-01,2,2014,16401,135276,151677,4430,41231,45661,41385,201332,242717,30044,104275,134319,13512,129456,142968,15714,123161,138875,27935,186228,214163,18471,214525,232996,16297,156620,172917,34296,203699,237995,413295,2754785,3168080,12362,103497,115859,8073,88223,96296,34998,193731,228729,8581,110415,118996,16770,126854,143624,16087,137309,153396,27485,125093,152578,25119,108452,133571,8516,61208,69724,11795,87139,98934,25024,117061,142085
2014-03-01,3,2014,16280,135344,151624,4408,41225,45633,41222,201528,242750,29871,104092,133963,13411,129424,142835,15603,122998,138601,27635,186321,213956,18394,214670,233064,16169,156973,173142,34052,203681,237733,410691,2755926,3166617,12217,103600,115817,8017,88155,96172,34818,193888,228706,8483,110356,118839,16636,126896,143532,16065,137339,153404,27381,125151,152532,24936,108596,133532,8440,61210,69650,11732,87297,99029,24921,117182,142103
2014-04-01,4,2014,16215,135611,151826,4419,41316,45735,41179,201960,243139,29968,104227,134195,13404,129543,142947,15588,123253,138841,27562,186785,214347,18321,215387,233708,16174,157402,173576,33941,203903,237844,410083,2761343,3171426,12175,103839,116014,7946,88212,96158,34754,194118,228872,8491,110496,118987,16682,127030,143712,16021,137547,153568,27420,125388,152808,24918,108835,133753,8471,61367,69838,11651,87525,99176,24783,117599,142382
2014-05-01,5,2014,15865,135608,151473,4328,41416,45744,40625,202081,242706,29407,103922,133329,13214,129559,142773,15322,123211,138533,27165,186899,214064,18084,215732,233816,15896,157776,173672,33418,203980,237398,403810,2762729,3166539,11923,103903,115826,7851,88133,95984,34186,194189,228375,8322,110540,118862,16438,127066,143504,15800,137640,153440,27043,125332,152375,24606,108879,133485,8396,61376,69772,11480,87738,99218,24441,117749,142190
2014-06-01,6,2014,15578,135694,151272,4279,41497,45776,40127,202444,242571,28913,103771,132684,13019,129444,142463,15076,123294,138370,26887,187069,213956,17881,215845,233726,15731,158091,173822,33044,204022,237066,398946,2764753,3163699,11813,104048,115861,7659,88126,95785,33821,194405,228226,8203,110596,118799,16244,127016,143260,15656,137707,153363,26758,125336,152094,24420,109031,133451,8295,61494,69789,11373,87902,99275,24169,117921,142090
2014-07-01,7,2014,15333,135813,151146,4231,41527,45758,39672,202694,242366,28578,103778,132356,12788,129502,142290,14887,123260,138147,26710,187132,213842,17683,216061,233744,15615,158251,173866,32696,204102,236798,395044,2766100,3161144,11639,104080,115719,7623,88105,95728,33576,194363,227939,8105,110580,118685,16071,127022,143093,15525,137715,153240,26500,125421,151921,24372,108995,133367,8212,61529,69741,11266,88080,99346,23962,118090,142052
2014-08-01,8,2014,14997,135789,150786,4134,41593,45727,38905,202824,241729,28126,103715,131841,12547,129361,141908,14583,123209,137792,26205,187176,213381,17307,216234,233541,15341,158430,173771,32043,204083,236126,387822,2766785,3154607,11444,104334,115778,7458,88102,95560,33057,194361,227418,7990,110425,118415,15794,126952,142746,15206,137821,153027,26008,125462,151470,24007,109011,133018,8055,61525,69580,11088,88218,99306,23527,118160,141687
2014-09-01,9,2014,14956,135814,150770,4152,41605,45757,38906,202873,241779,28156,103783,131939,12544,129347,141891,14622,123157,137779,26208,187122,213330,17313,216238,233551,15374,158778,174152,31911,203989,235900,387916,2767619,3155535,11428,104378,115806,7470,88079,95549,33036,194457,227493,7949,110434,118383,15818,126931,142749,15209,137819,153028,25989,125644,151633,24136,109045,133181,8076,61583,69659,11097,88337,99434,23566,118206,141772
2014-10-01,10,2014,15016,136074,151090,4179,41705,45884,38927,203303,242230,28280,104068,132348,12568,129480,142048,14744,123365,138109,26249,187278,213527,17365,216509,233874,15416,159298,174714,31997,204152,236149,389477,2772568,3162045,11635,104740,116375,7476,88106,95582,33216,194884,228100,7988,110560,118548,16045,127153,143198,15366,138031,153397,25947,125887,151834,24246,109276,133522,8081,61659,69740,11122,88555,99677,23614,118485,142099
2014-11-01,11,2014,15005,136006,151011,4122,41730,45852,38614,202978,241592,28468,103932,132400,12668,129459,142127,15064,123274,138338,26166,186963,213129,17355,216550,233905,15379,159446,174825,31891,203793,235684,389318,2770686,3160004,11820,104752,116572,7411,87925,95336,33079,194621,227700,8024,110475,118499,16361,127100,143461,15321,137912,153233,25947,125868,151815,24168,109258,133426,7971,61670,69641,11050,88624,99674,23434,118350,141784
2014-12-01,12,2014,15053,136196,151249,4130,41822,45952,38769,203273,242042,28742,104157,132899,12744,129492,142236,15135,123429,138564,26308,187037,213345,17312,216836,234148,15479,159762,175241,32008,203927,235935,390949,2773753,3164702,11904,104932,116836,7450,87897,95347,33165,194676,227841,8075,110590,118665,16570,127198,143768,15374,138020,153394,26048,126188,152236,24221,109405,133626,7965,61729,69694,11087,88826,99913,23410,118361,141771
2015-01-01,1,2015,14647,135820,150467,4044,41768,45812,38110,202743,240853,27975,103593,131568,12451,129287,141738,14691,123076,137767,25701,186563,212264,16927,216414,233341,15151,159489,174640,31427,203412,234839,382450,2767213,3149663,11577,104703,116280,7297,87734,95031,32552,194192,226744,7909,110303,118212,16067,126776,142843,15083,137697,152780,25403,125910,151313,23818,109217,133035,7795,61665,69460,10897,88805,99702,22928,118046,140974
2015-02-01,2,2015,14528,136198,150726,4018,41932,45950,37792,203383,241175,27682,103843,131525,12341,129791,142132,14441,123275,137716,25535,186664,212199,16875,217032,233907,15142,160411,175553,31242,203602,234844,380198,2774312,3154510,11456,104941,116397,7212,87733,94945,32379,194541,226920,7883,110521,118404,15849,127014,142863,15065,137991,153056,25442,126239,151681,23798,109572,133370,7807,61779,69586,10846,89405,100251,22865,118445,141310
2015-03-01,3,2015,14475,136339,150814,4018,42146,46164,37510,202776,240286,27739,104256,131995,12308,130061,142369,14241,122870,137111,25444,186351,211795,16862,217647,234509,15146,160314,175460,31038,202781,233819,378233,2771931,3150164,11423,105229,116652,7021,86099,93120,32165,194298,226463,7759,110183,117942,15798,127298,143096,14890,137693,152583,25468,126547,152015,23563,108588,132151,7795,62005,69800,10844,89872,100716,22726,118578,141304
2015-04-01,4,2015,14475,136339,150814,4018,42146,46164,37766,203938,241704,27739,104256,131995,12308,130061,142369,14314,123448,137762,25517,186951,212468,16862,217647,234509,15170,160892,176062,31210,203937,235147,379449,2780696,3160145,11423,105229,116652,7154,87833,94987,32378,194884,227262,7824,110774,118598,15798,127298,143096,14954,138279,153233,25468,126547,152015,23703,109782,133485,7798,62005,69803,10844,89872,100716,22726,118578,141304
2015-05-01,5,2015,14376,136330,150706,3970,42106,46076,37744,203812,241556,27349,104159,131508,12248,129938,142186,14115,123167,137282,25504,186769,212273,16739,217763,234502,15081,160856,175937,31076,203719,234795,377511,2778227,3155738,11338,105129,116467,7122,87646,94768,32278,194591,226869,7753,110618,118371,15747,127057,142804,14835,138230,153065,25371,126379,151750,23687,109648,133335,7732,61898,69630,10744,89972,100716,22702,118440,141142
2015-06-01,6,2015,14486,136575,151061,3984,42182,46166,37891,204141,242032,27466,104339,131805,12270,130064,142334,14141,123313,137454,25595,187031,212626,16763,218120,234883,15096,161224,176320,31073,203769,234842,378880,2781906,3160786,11340,105241,116581,7132,87653,94785,32430,194753,227183,7775,110615,118390,15880,127243,143123,14904,138399,153303,25489,126653,152142,23793,109786,133579,7751,61958,69709,10797,90214,101011,22824,118633,141457
