date,precio_m2,var_mensual,var_trimest,var_anual,distrito,month,year
2023-06-01,4015,0.9,2.0,5.1,madrid,6,2023
2023-05-01,3979,0.1,2.0,4.9,madrid,5,2023
2023-04-01,3977,1.1,2.8,5.6,madrid,4,2023
2023-03-01,3935,0.9,1.4,5.2,madrid,3,2023
2023-02-01,3900,0.8,0.4,4.5,madrid,2,2023
2023-01-01,3870,0.3,1.2,4.8,madrid,1,2023
2022-12-01,3881,0.9,0.8,6.3,madrid,12,2022
2022-11-01,3916,0.0,0.6,8.4,madrid,11,2022
2022-10-01,3916,0.1,1.7,8.1,madrid,10,2022
2022-09-01,3912,0.5,2.4,7.1,madrid,9,2022
2022-08-01,3893,1.1,2.6,6.6,madrid,8,2022
2022-07-01,3852,0.8,2.2,4.6,madrid,7,2022
2022-06-01,3821,0.7,2.1,3.8,madrid,6,2022
2022-05-01,3794,0.7,1.7,3.9,madrid,5,2022
2022-04-01,3767,0.7,2.0,4.0,madrid,4,2022
2022-03-01,3741,0.3,2.4,3.4,madrid,3,2022
2022-02-01,3731,1.1,3.2,3.5,madrid,2,2022
2022-01-01,3692,1.1,2.0,2.9,madrid,1,2022
2021-12-01,3652,1.0,0.0,1.5,madrid,12,2021
2021-11-01,3614,0.2,1.1,0.5,madrid,11,2021
2021-10-01,3622,0.8,1.7,0.9,madrid,10,2021
2021-09-01,3651,0.1,0.8,1.2,madrid,9,2021
2021-08-01,3654,0.8,0.1,1.0,madrid,8,2021
2021-07-01,3683,0.1,1.7,1.1,madrid,7,2021
2021-06-01,3681,0.8,1.7,0.1,madrid,6,2021
2021-05-01,3652,0.9,1.3,1.6,madrid,5,2021
2021-04-01,3621,0.1,0.9,1.3,madrid,4,2021
2021-03-01,3618,0.3,0.6,0.9,madrid,3,2021
2021-02-01,3607,0.5,0.3,0.9,madrid,2,2021
2021-01-01,3589,0.2,0.0,1.0,madrid,1,2021
2020-12-01,3597,0.0,0.3,1.2,madrid,12,2020
2020-11-01,3595,0.2,0.7,1.7,madrid,11,2020
2020-10-01,3590,0.5,1.5,2.4,madrid,10,2020
2020-09-01,3608,0.3,1.9,1.7,madrid,9,2020
2020-08-01,3619,0.7,2.5,1.9,madrid,8,2020
2020-07-01,3645,0.9,0.7,1.7,madrid,7,2020
