distrito,nacionales,extranjeros,total,date,month,year
arganzuela,135269,16783,152052.0,2014-01-01,1,2014
barajas,41213,4508,45721.0,2014-01-01,1,2014
carabanchel,201419,42154,243573.0,2014-01-01,1,2014
centro,104359,30578,134937.0,2014-01-01,1,2014
chamartin,129404,13720,143124.0,2014-01-01,1,2014
chamberi,123133,16043,139176.0,2014-01-01,1,2014
ciudad_lineal,186470,28501,214971.0,2014-01-01,1,2014
fuencarral,214397,18801,233198.0,2014-01-01,1,2014
hortaleza,156525,16597,173122.0,2014-01-01,1,2014
latina,203876,34982,238858.0,2014-01-01,1,2014
moncloa,103607,12540,116147.0,2014-01-01,1,2014
moratalaz,88283,8188,96471.0,2014-01-01,1,2014
puente_vallecas,193887,35621,229508.0,2014-01-01,1,2014
retiro,110400,8748,119148.0,2014-01-01,1,2014
salamanca,126912,17183,144095.0,2014-01-01,1,2014
san_blas,137367,16421,153788.0,2014-01-01,1,2014
tetuan,125144,27999,153143.0,2014-01-01,1,2014
usera,108560,25594,134154.0,2014-01-01,1,2014
vicalvaro,61179,8684,69863.0,2014-01-01,1,2014
villaverde,117072,25430,142502.0,2014-01-01,1,2014
villa_vallecas,86980,11953,98933.0,2014-01-01,1,2014
madrid,2755473,421035,3176508.0,2014-01-01,1,2014
arganzuela,135276,16401,151677.0,2014-02-01,2,2014
barajas,41231,4430,45661.0,2014-02-01,2,2014
carabanchel,201332,41385,242717.0,2014-02-01,2,2014
centro,104275,30044,134319.0,2014-02-01,2,2014
chamartin,129456,13512,142968.0,2014-02-01,2,2014
chamberi,123161,15714,138875.0,2014-02-01,2,2014
ciudad_lineal,186228,27935,214163.0,2014-02-01,2,2014
fuencarral,214525,18471,232996.0,2014-02-01,2,2014
hortaleza,156620,16297,172917.0,2014-02-01,2,2014
latina,203699,34296,237995.0,2014-02-01,2,2014
moncloa,103497,12362,115859.0,2014-02-01,2,2014
moratalaz,88223,8073,96296.0,2014-02-01,2,2014
puente_vallecas,193731,34998,228729.0,2014-02-01,2,2014
retiro,110415,8581,118996.0,2014-02-01,2,2014
salamanca,126854,16770,143624.0,2014-02-01,2,2014
san_blas,137309,16087,153396.0,2014-02-01,2,2014
tetuan,125093,27485,152578.0,2014-02-01,2,2014
usera,108452,25119,133571.0,2014-02-01,2,2014
vicalvaro,61208,8516,69724.0,2014-02-01,2,2014
villaverde,117061,25024,142085.0,2014-02-01,2,2014
villa_vallecas,87139,11795,98934.0,2014-02-01,2,2014
madrid,2754785,413295,3168080.0,2014-02-01,2,2014
arganzuela,135344,16280,151624.0,2014-03-01,3,2014
barajas,41225,4408,45633.0,2014-03-01,3,2014
carabanchel,201528,41222,242750.0,2014-03-01,3,2014
centro,104092,29871,133963.0,2014-03-01,3,2014
chamartin,129424,13411,142835.0,2014-03-01,3,2014
chamberi,122998,15603,138601.0,2014-03-01,3,2014
ciudad_lineal,186321,27635,213956.0,2014-03-01,3,2014
fuencarral,214670,18394,233064.0,2014-03-01,3,2014
hortaleza,156973,16169,173142.0,2014-03-01,3,2014
latina,203681,34052,237733.0,2014-03-01,3,2014
moncloa,103600,12217,115817.0,2014-03-01,3,2014
moratalaz,88155,8017,96172.0,2014-03-01,3,2014
puente_vallecas,193888,34818,228706.0,2014-03-01,3,2014
retiro,110356,8483,118839.0,2014-03-01,3,2014
salamanca,126896,16636,143532.0,2014-03-01,3,2014
san_blas,137339,16065,153404.0,2014-03-01,3,2014
tetuan,125151,27381,152532.0,2014-03-01,3,2014
usera,108596,24936,133532.0,2014-03-01,3,2014
vicalvaro,61210,8440,69650.0,2014-03-01,3,2014
villaverde,117182,24921,142103.0,2014-03-01,3,2014
villa_vallecas,87297,11732,99029.0,2014-03-01,3,2014
madrid,2755926,410691,3166617.0,2014-03-01,3,2014
arganzuela,135611,16215,151826.0,2014-04-01,4,2014
barajas,41316,4419,45735.0,2014-04-01,4,2014
carabanchel,201960,41179,243139.0,2014-04-01,4,2014
centro,104227,29968,134195.0,2014-04-01,4,2014
chamartin,129543,13404,142947.0,2014-04-01,4,2014
chamberi,123253,15588,138841.0,2014-04-01,4,2014
ciudad_lineal,186785,27562,214347.0,2014-04-01,4,2014
fuencarral,215387,18321,233708.0,2014-04-01,4,2014
hortaleza,157402,16174,173576.0,2014-04-01,4,2014
latina,203903,33941,237844.0,2014-04-01,4,2014
moncloa,103839,12175,116014.0,2014-04-01,4,2014
moratalaz,88212,7946,96158.0,2014-04-01,4,2014
puente_vallecas,194118,34754,228872.0,2014-04-01,4,2014
retiro,110496,8491,118987.0,2014-04-01,4,2014
salamanca,127030,16682,143712.0,2014-04-01,4,2014
san_blas,137547,16021,153568.0,2014-04-01,4,2014
tetuan,125388,27420,152808.0,2014-04-01,4,2014
usera,108835,24918,133753.0,2014-04-01,4,2014
vicalvaro,61367,8471,69838.0,2014-04-01,4,2014
villaverde,117599,24783,142382.0,2014-04-01,4,2014
villa_vallecas,87525,11651,99176.0,2014-04-01,4,2014
madrid,2761343,410083,3171426.0,2014-04-01,4,2014
arganzuela,135608,15865,151473.0,2014-05-01,5,2014
barajas,41416,4328,45744.0,2014-05-01,5,2014
carabanchel,202081,40625,242706.0,2014-05-01,5,2014
centro,103922,29407,133329.0,2014-05-01,5,2014
chamartin,129559,13214,142773.0,2014-05-01,5,2014
chamberi,123211,15322,138533.0,2014-05-01,5,2014
ciudad_lineal,186899,27165,214064.0,2014-05-01,5,2014
fuencarral,215732,18084,233816.0,2014-05-01,5,2014
hortaleza,157776,15896,173672.0,2014-05-01,5,2014
latina,203980,33418,237398.0,2014-05-01,5,2014
moncloa,103903,11923,115826.0,2014-05-01,5,2014
moratalaz,88133,7851,95984.0,2014-05-01,5,2014
puente_vallecas,194189,34186,228375.0,2014-05-01,5,2014
retiro,110540,8322,118862.0,2014-05-01,5,2014
salamanca,127066,16438,143504.0,2014-05-01,5,2014
san_blas,137640,15800,153440.0,2014-05-01,5,2014
tetuan,125332,27043,152375.0,2014-05-01,5,2014
usera,108879,24606,133485.0,2014-05-01,5,2014
vicalvaro,61376,8396,69772.0,2014-05-01,5,2014
villaverde,117749,24441,142190.0,2014-05-01,5,2014
villa_vallecas,87738,11480,99218.0,2014-05-01,5,2014
madrid,2762729,403810,3166539.0,2014-05-01,5,2014
arganzuela,135694,15578,151272.0,2014-06-01,6,2014
barajas,41497,4279,45776.0,2014-06-01,6,2014
carabanchel,202444,40127,242571.0,2014-06-01,6,2014
centro,103771,28913,132684.0,2014-06-01,6,2014
chamartin,129444,13019,142463.0,2014-06-01,6,2014
chamberi,123294,15076,138370.0,2014-06-01,6,2014
ciudad_lineal,187069,26887,213956.0,2014-06-01,6,2014
fuencarral,215845,17881,233726.0,2014-06-01,6,2014
hortaleza,158091,15731,173822.0,2014-06-01,6,2014
latina,204022,33044,237066.0,2014-06-01,6,2014
moncloa,104048,11813,115861.0,2014-06-01,6,2014
moratalaz,88126,7659,95785.0,2014-06-01,6,2014
puente_vallecas,194405,33821,228226.0,2014-06-01,6,2014
retiro,110596,8203,118799.0,2014-06-01,6,2014
salamanca,127016,16244,143260.0,2014-06-01,6,2014
san_blas,137707,15656,153363.0,2014-06-01,6,2014
tetuan,125336,26758,152094.0,2014-06-01,6,2014
usera,109031,24420,133451.0,2014-06-01,6,2014
vicalvaro,61494,8295,69789.0,2014-06-01,6,2014
villaverde,117921,24169,142090.0,2014-06-01,6,2014
villa_vallecas,87902,11373,99275.0,2014-06-01,6,2014
madrid,2764753,398946,3163699.0,2014-06-01,6,2014
arganzuela,135813,15333,151146.0,2014-07-01,7,2014
barajas,41527,4231,45758.0,2014-07-01,7,2014
carabanchel,202694,39672,242366.0,2014-07-01,7,2014
centro,103778,28578,132356.0,2014-07-01,7,2014
chamartin,129502,12788,142290.0,2014-07-01,7,2014
chamberi,123260,14887,138147.0,2014-07-01,7,2014
ciudad_lineal,187132,26710,213842.0,2014-07-01,7,2014
fuencarral,216061,17683,233744.0,2014-07-01,7,2014
hortaleza,158251,15615,173866.0,2014-07-01,7,2014
latina,204102,32696,236798.0,2014-07-01,7,2014
moncloa,104080,11639,115719.0,2014-07-01,7,2014
moratalaz,88105,7623,95728.0,2014-07-01,7,2014
puente_vallecas,194363,33576,227939.0,2014-07-01,7,2014
retiro,110580,8105,118685.0,2014-07-01,7,2014
salamanca,127022,16071,143093.0,2014-07-01,7,2014
