,distrito,date,valor,year
0,arganzuela,01/01/2002,15961,2002
1,arganzuela,01/01/2003,16705,2003
2,arganzuela,01/01/2004,17796,2004
3,arganzuela,01/01/2005,18426,2005
4,arganzuela,01/01/2006,19863,2006
5,arganzuela,01/01/2007,21035,2007
6,arganzuela,01/01/2008,21884,2008
7,arganzuela,01/01/2009,21605,2009
8,arganzuela,01/01/2010,21705,2010
9,arganzuela,01/01/2011,22281,2011
10,arganzuela,01/01/2012,21742,2012
11,arganzuela,01/01/2013,22116,2013
12,arganzuela,01/01/2014,22479,2014
13,arganzuela,01/01/2015,23904,2015
14,arganzuela,01/01/2016,24754,2016
15,arganzuela,01/01/2017,25643,2017
16,arganzuela,01/01/2018,26295,2018
17,arganzuela,01/01/2019,27672,2019
18,barajas,01/01/2002,15994,2002
19,barajas,01/01/2003,16565,2003
20,barajas,01/01/2004,18146,2004
21,barajas,01/01/2005,18709,2005
22,barajas,01/01/2006,20309,2006
23,barajas,01/01/2007,22343,2007
24,barajas,01/01/2008,23371,2008
25,barajas,01/01/2009,23399,2009
26,barajas,01/01/2010,23012,2010
27,barajas,01/01/2011,23718,2011
28,barajas,01/01/2012,22718,2012
29,barajas,01/01/2013,23352,2013
30,barajas,01/01/2014,23704,2014
31,barajas,01/01/2015,24619,2015
32,barajas,01/01/2016,25184,2016
33,barajas,01/01/2017,25818,2017
34,barajas,01/01/2018,25775,2018
35,barajas,01/01/2019,26467,2019
36,carabanchel,01/01/2002,12954,2002
37,carabanchel,01/01/2003,13754,2003
38,carabanchel,01/01/2004,14861,2004
39,carabanchel,01/01/2005,15269,2005
40,carabanchel,01/01/2006,16339,2006
41,carabanchel,01/01/2007,17016,2007
42,carabanchel,01/01/2008,17672,2008
43,carabanchel,01/01/2009,17520,2009
44,carabanchel,01/01/2010,17052,2010
45,carabanchel,01/01/2011,17093,2011
46,carabanchel,01/01/2012,16902,2012
47,carabanchel,01/01/2013,16574,2013
48,carabanchel,01/01/2014,17092,2014
49,carabanchel,01/01/2015,17825,2015
50,carabanchel,01/01/2016,18129,2016
51,carabanchel,01/01/2017,18004,2017
52,carabanchel,01/01/2018,18100,2018
53,carabanchel,01/01/2019,18611,2019
54,centro,01/01/2002,16719,2002
55,centro,01/01/2003,17124,2003
56,centro,01/01/2004,18035,2004
57,centro,01/01/2005,18630,2005
58,centro,01/01/2006,20297,2006
59,centro,01/01/2007,21465,2007
60,centro,01/01/2008,22492,2008
61,centro,01/01/2009,21964,2009
62,centro,01/01/2010,21539,2010
63,centro,01/01/2011,22393,2011
64,centro,01/01/2012,21797,2012
65,centro,01/01/2013,22003,2013
66,centro,01/01/2014,22688,2014
67,centro,01/01/2015,23866,2015
68,centro,01/01/2016,25092,2016
69,centro,01/01/2017,26092,2017
70,centro,01/01/2018,26579,2018
71,centro,01/01/2019,27236,2019
72,chamartin,01/01/2002,19576,2002
73,chamartin,01/01/2003,20739,2003
74,chamartin,01/01/2004,21224,2004
75,chamartin,01/01/2005,22001,2005
76,chamartin,01/01/2006,23419,2006
77,chamartin,01/01/2007,25522,2007
78,chamartin,01/01/2008,27638,2008
